"597","1664","4085","4726","21978","date","other"
"2","","","","0","2017-12-08","0"
"20","1","4","","5","2017-12-22","0"
"17","4","5","","6","2018-01-05","0"
"14","3","4","0","5","2018-01-19","0"
"17","4","5","4","6","2018-02-02","0"
"16","4","4","4","5","2018-02-16","0"
"16","4","4","4","5","2018-03-02","0"
"13","3","3","3","4","2018-03-16","0"
"14","3","4","3","5","2018-03-30","0"
"14","3","4","3","5","2018-04-13","0"
"22","5","6","5","7","2018-04-27","0"
"22","5","6","5","7","2018-05-11","0"
"22","5","6","5","7","2018-05-25","0"
"22","5","6","5","7","2018-06-08","0"
"23","6","7","6","8","2018-06-22","0"
"23","6","7","6","8","2018-07-06","0"
"23","6","7","6","8","2018-07-20","0"
"23","6","7","6","8","2018-08-03","0"
"23","6","7","6","8","2018-08-17","0"
"23","6","7","6","8","2018-08-31","0"
"23","6","7","6","8","2018-09-14","0"
"23","6","7","6","8","2018-09-28","0"
"23","6","7","6","8","2018-10-12","0"
"23","6","7","6","8","2018-10-26","0"
"23","6","7","6","8","2018-11-09","0"
"23","6","7","6","8","2018-11-23","0"
"23","6","7","6","8","2018-12-07","0"
"23","6","7","6","8","2018-12-21","0"
"23","6","7","6","8","2019-01-04","0"
"23","6","7","6","8","2019-01-18","0"
"23","6","7","6","8","2019-02-01","0"
"23","6","7","6","8","2019-02-15","0"
"23","6","7","6","8","2019-03-01","0"
"8","2","3","2","3","2019-03-15","0"
"7","2","2","2","2","2019-03-29","0"
"23","6","7","6","8","2019-04-12","0"
"23","6","7","6","9","2019-04-26","0"
"8","2","3","2","3","2019-05-10","0"
"18","6","6","6","8","2019-05-24","0"
"23","7","7","7","10","2019-06-07","0"
"28","9","9","9","12","2019-06-21","0"
"25","8","8","8","11","2019-07-05","0"
"23","7","7","7","10","2019-07-19","0"
"23","7","7","7","10","2019-08-02","0"
"26","8","8","8","12","2019-08-16","0"
"23","7","6","6","11","2019-08-30","0"
"23","7","6","6","11","2019-09-13","0"
"25","8","6","6","12","2019-09-27","0"
"28","9","7","7","13","2019-10-11","0"
"21","7","6","6","10","2019-10-25","0"
"25","8","6","6","12","2019-11-08","0"
"29","8","7","7","13","2019-11-22","0"
"38","8","7","7","13","2019-12-06","0"
"54","12","10","10","18","2019-12-20","0"
"33","7","6","6","11","2020-01-03","0"
"40","9","7","7","13","2020-01-17","0"
"33","7","6","6","11","2020-01-31","0"
"35","8","6","6","12","2020-02-14","0"
"33","7","6","6","11","2020-02-28","0"
"35","8","6","6","12","2020-03-13","0"
"31","7","6","6","10","2020-03-27","0"
"35","8","6","6","12","2020-04-10","0"
"31","7","6","6","10","2020-04-24","0"
"35","8","6","6","12","2020-05-08","0"
"35","8","6","6","12","2020-05-22","0"
"33","7","6","6","11","2020-06-05","0"
"33","7","6","6","11","2020-06-19","0"
"33","7","6","6","11","2020-07-03","0"
"38","8","7","7","13","2020-07-17","0"
"38","8","7","7","13","2020-07-31","0"
"31","7","6","6","10","2020-08-14","0"
"35","8","8","6","12","2020-08-28","0"
"47","10","10","9","16","2020-09-11","0"
"33","7","7","6","11","2020-09-25","0"
"42","9","9","8","14","2020-10-09","0"
"38","8","8","7","13","2020-10-23","0"
"52","11","11","9","17","2020-11-06","0"
"47","10","10","9","16","2020-11-20","0"
"42","9","9","8","14","2020-12-04","0"
"40","9","9","7","13","2020-12-18","0"
"38","8","8","7","13","2021-01-01","0"
"40","9","9","7","13","2021-01-15","0"
"38","8","8","7","13","2021-01-29","0"
"19","5","4","4","7","2021-02-12","0"
"38","9","8","8","14","2021-02-26","0"
"33","8","7","7","12","2021-03-12","0"
"35","9","8","8","13","2021-03-26","0"
"33","8","7","7","12","2021-04-09","0"
"33","8","7","7","12","2021-04-23","0"
"35","9","8","8","13","2021-05-07","0"
"33","8","7","7","12","2021-05-21","0"
