"19","122","493","7208","date","other"
"22","20","25","","2017-10-13","0"
"20","17","22","","2017-10-27","0"
"20","17","22","2","2017-11-10","0"
"16","14","19","4","2017-11-24","0"
"20","17","22","4","2017-12-08","0"
"23","20","26","5","2017-12-22","0"
"23","20","26","5","2018-01-05","0"
"23","20","26","5","2018-01-19","0"
"20","17","22","4","2018-02-02","0"
"20","17","22","4","2018-02-16","0"
"21","19","24","5","2018-03-02","0"
"21","19","24","5","2018-03-16","0"
"21","19","24","6","2018-03-30","0"
"23","20","26","6","2018-04-13","0"
"23","20","26","6","2018-04-27","0"
"23","20","26","6","2018-05-11","0"
"23","20","26","6","2018-05-25","0"
"23","20","26","6","2018-06-08","0"
"23","20","26","6","2018-06-22","0"
"23","20","26","6","2018-07-06","0"
"23","20","49","6","2018-07-20","0"
"23","20","49","6","2018-08-03","0"
"23","20","49","6","2018-08-17","0"
"23","20","49","6","2018-08-31","0"
"23","20","49","6","2018-09-14","0"
"23","20","49","6","2018-09-28","0"
"23","20","49","6","2018-10-12","0"
"23","20","49","6","2018-10-26","0"
"23","20","49","6","2018-11-09","0"
"23","20","49","6","2018-11-23","0"
"23","20","49","6","2018-12-07","0"
"23","20","49","6","2018-12-21","0"
"23","20","49","6","2019-01-04","0"
"23","20","49","7","2019-01-18","0"
"23","20","49","7","2019-02-01","0"
"23","20","49","7","2019-02-15","0"
"23","20","49","7","2019-03-01","0"
"21","19","46","7","2019-03-15","0"
"23","20","49","7","2019-03-29","0"
"23","20","49","7","2019-04-12","0"
"23","20","49","8","2019-04-26","0"
"8","7","18","3","2019-05-10","0"
"15","13","32","5","2019-05-24","0"
"26","23","56","9","2019-06-07","0"
"23","20","49","8","2019-06-21","0"
"23","20","49","8","2019-07-05","0"
"26","23","56","9","2019-07-19","0"
"25","21","53","9","2019-08-02","0"
"21","19","46","7","2019-08-16","0"
"21","19","46","7","2019-08-30","0"
"21","19","46","7","2019-09-13","0"
"25","21","53","9","2019-09-27","0"
"23","20","49","8","2019-10-11","0"
"23","20","49","8","2019-10-25","0"
"25","21","53","9","2019-11-08","0"
"23","20","49","8","2019-11-22","0"
"25","21","53","9","2019-12-06","0"
"41","37","79","11","2019-12-20","0"
"35","32","64","9","2020-01-03","0"
"38","34","69","9","2020-01-17","0"
"33","30","34","8","2020-01-31","0"
"40","36","28","10","2020-02-14","0"
"33","30","23","8","2020-02-28","0"
"33","30","23","8","2020-03-13","0"
"38","34","26","9","2020-03-27","0"
"31","28","21","7","2020-04-10","0"
"31","28","21","7","2020-04-24","0"
"40","36","28","10","2020-05-08","0"
"33","30","23","8","2020-05-22","0"
"35","32","25","9","2020-06-05","0"
"35","32","25","9","2020-06-19","0"
"38","34","26","8","2020-07-03","0"
"28","26","20","6","2020-07-17","0"
"40","36","28","9","2020-07-31","0"
"28","26","20","6","2020-08-14","0"
"33","30","23","7","2020-08-28","0"
"38","34","26","8","2020-09-11","0"
"31","28","21","7","2020-09-25","0"
"33","30","23","7","2020-10-09","0"
"28","26","20","6","2020-10-23","0"
"45","41","31","10","2020-11-06","0"
"42","39","30","9","2020-11-20","0"
"40","36","28","9","2020-12-04","0"
"33","30","23","7","2020-12-18","0"
"31","28","21","7","2021-01-01","0"
"40","36","28","9","2021-01-15","0"
"35","32","25","8","2021-01-29","0"
"31","28","21","7","2021-02-12","0"
"40","36","28","9","2021-02-26","0"
"35","32","25","8","2021-03-12","0"
"33","30","23","7","2021-03-26","0"
"35","32","25","8","2021-04-09","0"
"33","30","23","7","2021-04-23","0"
"33","30","23","7","2021-05-07","0"
"33","30","23","7","2021-05-21","0"
