"113","122","128","493","1754","date","other"
"","14","16","18","","2017-05-12","0"
"","21","25","28","","2017-05-26","0"
"","21","25","28","","2017-06-09","0"
"","21","25","28","","2017-06-23","0"
"","21","25","28","","2017-07-07","0"
"","20","23","26","","2017-07-21","0"
"","18","21","24","","2017-08-04","0"
"","18","21","24","","2017-08-18","0"
"","11","13","14","","2017-09-01","0"
"","18","21","24","","2017-09-15","0"
"","11","13","14","","2017-09-29","0"
"","15","18","20","","2017-10-13","0"
"","12","14","16","","2017-10-27","0"
"","14","16","18","","2017-11-10","0"
"","14","16","18","","2017-11-24","0"
"","17","20","22","","2017-12-08","0"
"","14","16","18","","2017-12-22","0"
"","15","18","20","","2018-01-05","0"
"","12","14","16","","2018-01-19","0"
"","14","16","18","","2018-02-02","0"
"","14","16","18","","2018-02-16","0"
"","15","18","20","","2018-03-02","0"
"","12","14","16","","2018-03-16","0"
"2","17","20","22","","2018-03-30","0"
"9","17","20","22","","2018-04-13","0"
"12","22","26","29","","2018-04-27","0"
"12","22","26","29","","2018-05-11","0"
"12","22","26","29","","2018-05-25","0"
"12","22","26","29","","2018-06-08","0"
"12","22","26","29","","2018-06-22","0"
"12","22","26","29","","2018-07-06","0"
"12","22","26","51","","2018-07-20","0"
"12","22","26","51","","2018-08-03","0"
"12","22","26","51","","2018-08-17","0"
"12","22","26","51","","2018-08-31","0"
"12","22","26","51","","2018-09-14","0"
"12","22","26","51","","2018-09-28","0"
"12","22","26","51","","2018-10-12","0"
"12","22","26","51","","2018-10-26","0"
"12","22","26","51","","2018-11-09","0"
"12","22","26","51","","2018-11-23","0"
"12","22","26","51","","2018-12-07","0"
"12","23","26","51","","2018-12-21","0"
"12","23","26","51","","2019-01-04","0"
"12","23","26","51","","2019-01-18","0"
"12","23","26","51","","2019-02-01","0"
"12","23","26","51","","2019-02-15","0"
"12","23","26","51","","2019-03-01","0"
"8","15","17","33","","2019-03-15","0"
"9","16","19","36","","2019-03-29","0"
"12","22","24","48","","2019-04-12","0"
"15","25","27","53","","2019-04-26","0"
"4","7","8","15","","2019-05-10","0"
"10","18","20","39","4","2019-05-24","0"
"14","25","28","55","5","2019-06-07","0"
"14","25","28","55","5","2019-06-21","0"
"14","25","28","55","5","2019-07-05","0"
"14","25","28","55","5","2019-07-19","0"
"14","25","28","55","5","2019-08-02","0"
"13","23","26","51","5","2019-08-16","0"
"14","25","28","55","5","2019-08-30","0"
"13","23","26","51","5","2019-09-13","0"
"14","25","28","55","5","2019-09-27","0"
"14","25","28","55","5","2019-10-11","0"
"15","27","30","59","5","2019-10-25","0"
"11","20","22","43","4","2019-11-08","0"
"13","23","26","51","5","2019-11-22","0"
"16","29","32","63","6","2019-12-06","0"
"14","25","28","55","5","2019-12-20","0"
"15","27","30","59","5","2020-01-03","0"
"16","29","32","63","6","2020-01-17","0"
"17","30","34","40","6","2020-01-31","0"
"17","30","34","29","6","2020-02-14","0"
"15","27","30","26","5","2020-02-28","0"
"13","23","26","22","5","2020-03-13","0"
"13","30","32","22","5","2020-03-27","0"
"16","40","43","27","6","2020-04-10","0"
"15","38","41","26","5","2020-04-24","0"
"16","40","43","27","6","2020-05-08","0"
"13","33","35","22","5","2020-05-22","0"
"14","35","38","24","6","2020-06-05","0"
"13","33","35","22","6","2020-06-19","0"
"15","38","41","26","6","2020-07-03","0"
"33","83","90","57","14","2020-07-17","0"
"16","40","43","27","7","2020-07-31","0"
"14","35","38","24","7","2020-08-14","0"
"15","38","41","26","8","2020-08-28","0"
"15","38","41","26","8","2020-09-11","0"
"13","33","36","22","7","2020-09-25","0"
"14","35","39","24","8","2020-10-09","0"
"13","33","36","22","7","2020-10-23","0"
"17","43","47","29","10","2020-11-06","0"
"17","43","47","29","10","2020-11-20","0"
"17","43","48","29","10","2020-12-04","0"
"19","48","54","33","11","2020-12-18","0"
"13","33","37","22","7","2021-01-01","0"
"19","48","54","33","11","2021-01-15","0"
"13","33","37","22","7","2021-01-29","0"
"12","30","34","21","7","2021-02-12","0"
"15","38","43","26","9","2021-02-26","0"
"14","35","40","24","8","2021-03-12","0"
"14","35","40","24","8","2021-03-26","0"
"15","38","43","26","9","2021-04-09","0"
"14","35","40","24","8","2021-04-23","0"
"14","35","40","24","8","2021-05-07","0"
"15","38","43","26","9","2021-05-21","0"
