"19","21","492","493","4345","4667","date","other"
"11","11","11","12","","","2017-11-10","0"
"11","10","11","12","","","2017-11-24","0"
"12","11","12","14","","","2017-12-08","0"
"17","16","17","19","","","2017-12-22","0"
"11","10","11","12","","","2018-01-05","0"
"11","11","11","13","","","2018-01-19","0"
"13","12","13","14","","","2018-02-02","0"
"13","12","13","14","","","2018-02-16","0"
"14","14","14","16","","","2018-03-02","0"
"14","14","14","16","","","2018-03-16","0"
"8","8","8","9","","","2018-03-30","0"
"14","14","14","16","","","2018-04-13","0"
"22","21","22","25","","","2018-04-27","0"
"22","21","22","25","","","2018-05-11","0"
"22","21","22","25","","","2018-05-25","0"
"22","21","22","25","","","2018-06-08","0"
"22","21","22","25","","","2018-06-22","0"
"22","21","22","25","","","2018-07-06","0"
"22","21","22","47","","","2018-07-20","0"
"22","21","22","47","","","2018-08-03","0"
"22","21","22","47","","","2018-08-17","0"
"22","21","22","47","","","2018-08-31","0"
"22","21","22","47","","","2018-09-14","0"
"22","21","22","47","","","2018-09-28","0"
"22","21","22","47","","","2018-10-12","0"
"22","21","22","47","","","2018-10-26","0"
"22","21","22","47","","","2018-11-09","0"
"22","21","22","47","","","2018-11-23","0"
"22","21","22","47","","","2018-12-07","0"
"22","21","22","47","","","2018-12-21","0"
"22","21","22","47","","","2019-01-04","0"
"22","21","22","47","","","2019-01-18","0"
"22","21","22","47","","","2019-02-01","0"
"22","21","22","47","","","2019-02-15","0"
"22","21","22","47","","","2019-03-01","0"
"8","8","8","17","","","2019-03-15","0"
"6","6","6","13","","","2019-03-29","0"
"20","20","20","44","3","3","2019-04-12","0"
"22","21","22","47","11","10","2019-04-26","0"
"8","8","8","17","4","4","2019-05-10","0"
"16","15","16","34","8","7","2019-05-24","0"
"23","21","23","48","11","10","2019-06-07","0"
"23","21","23","48","11","10","2019-06-21","0"
"23","21","23","48","11","10","2019-07-05","0"
"26","24","26","55","13","11","2019-07-19","0"
"25","23","25","51","12","11","2019-08-02","0"
"19","17","19","39","9","8","2019-08-16","0"
"24","21","24","50","11","10","2019-08-30","0"
"24","21","24","50","11","10","2019-09-13","0"
"24","21","24","50","11","10","2019-09-27","0"
"26","23","26","54","12","11","2019-10-11","0"
"26","23","26","54","12","11","2019-10-25","0"
"22","20","22","46","10","9","2019-11-08","0"
"27","24","27","57","13","11","2019-11-22","0"
"29","26","29","61","13","12","2019-12-06","0"
"24","21","24","50","11","10","2019-12-20","0"
"26","23","26","54","12","11","2020-01-03","0"
"29","26","29","61","13","12","2020-01-17","0"
"29","26","29","36","13","12","2020-01-31","0"
"22","20","22","21","10","9","2020-02-14","0"
"27","24","27","26","13","11","2020-02-28","0"
"31","27","31","30","14","13","2020-03-13","0"
"22","20","22","21","10","9","2020-03-27","0"
"22","20","22","21","10","9","2020-04-10","0"
"22","20","22","21","10","9","2020-04-24","0"
"24","21","24","23","11","10","2020-05-08","0"
"26","23","26","25","12","11","2020-05-22","0"
"26","23","26","25","12","11","2020-06-05","0"
"29","26","29","28","13","12","2020-06-19","0"
"26","23","26","25","12","11","2020-07-03","0"
"21","18","21","20","9","9","2020-07-17","0"
"24","21","24","23","11","10","2020-07-31","0"
"21","18","21","20","9","9","2020-08-14","0"
"24","21","24","23","11","10","2020-08-28","0"
"24","21","24","23","11","10","2020-09-11","0"
"22","20","22","21","10","9","2020-09-25","0"
"24","21","24","23","11","10","2020-10-09","0"
"27","24","27","26","13","11","2020-10-23","0"
"27","24","27","26","13","11","2020-11-06","0"
"31","27","31","30","14","13","2020-11-20","0"
"33","29","33","31","15","14","2020-12-04","0"
"24","21","24","23","11","10","2020-12-18","0"
"26","23","26","25","12","11","2021-01-01","0"
"29","26","29","28","13","12","2021-01-15","0"
"27","24","28","26","13","11","2021-01-29","0"
"15","14","16","15","7","6","2021-02-12","0"
"24","21","25","23","11","10","2021-02-26","0"
"24","21","25","23","11","10","2021-03-12","0"
"26","23","27","25","12","11","2021-03-26","0"
"24","21","25","23","11","10","2021-04-09","0"
"24","21","25","23","11","10","2021-04-23","0"
"24","21","25","23","11","10","2021-05-07","0"
"26","23","27","25","12","11","2021-05-21","0"
