"492","493","597","599","701","21978","date","other"
"11","12","11","10","10","","2018-03-14","0"
"18","21","18","17","17","","2018-03-28","0"
"21","24","21","20","20","4","2018-04-11","0"
"21","24","21","20","20","11","2018-04-25","0"
"21","24","21","20","20","11","2018-05-09","0"
"21","24","21","20","20","11","2018-05-23","0"
"21","24","21","20","20","11","2018-06-06","0"
"21","24","21","20","20","11","2018-06-20","0"
"21","24","21","20","20","11","2018-07-04","0"
"21","42","21","20","20","11","2018-07-18","0"
"21","45","21","20","20","11","2018-08-01","0"
"21","45","21","20","20","11","2018-08-15","0"
"21","45","21","20","20","11","2018-08-29","0"
"21","45","21","20","20","11","2018-09-12","0"
"21","45","21","20","20","11","2018-09-26","0"
"21","45","21","20","20","11","2018-10-10","0"
"21","45","21","20","20","11","2018-10-24","0"
"21","45","21","20","20","11","2018-11-07","0"
"21","45","21","20","20","11","2018-11-21","0"
"21","45","21","20","20","11","2018-12-05","0"
"21","45","21","20","20","11","2018-12-19","0"
"21","45","21","20","20","11","2019-01-02","0"
"21","45","21","20","20","11","2019-01-16","0"
"21","45","21","20","20","11","2019-01-30","0"
"21","45","21","20","20","11","2019-02-13","0"
"21","45","21","20","20","11","2019-02-27","0"
"20","42","20","19","19","10","2019-03-13","0"
"20","42","20","19","19","10","2019-03-27","0"
"21","45","21","20","20","11","2019-04-10","0"
"21","45","21","20","20","11","2019-04-24","0"
"11","23","11","10","10","6","2019-05-08","0"
"14","29","14","13","13","7","2019-05-22","0"
"21","45","21","20","20","11","2019-06-05","0"
"24","51","24","23","23","13","2019-06-19","0"
"21","45","21","20","20","11","2019-07-03","0"
"21","45","21","20","20","11","2019-07-17","0"
"24","51","24","23","23","13","2019-07-31","0"
"20","42","20","19","19","10","2019-08-14","0"
"26","55","26","24","24","13","2019-08-28","0"
"24","51","24","23","23","13","2019-09-11","0"
"21","45","21","20","20","11","2019-09-25","0"
"24","51","24","23","23","13","2019-10-09","0"
"21","45","21","20","20","11","2019-10-23","0"
"21","45","21","20","20","11","2019-11-06","0"
"21","45","21","20","20","11","2019-11-20","0"
"24","51","24","23","23","13","2019-12-04","0"
"29","61","29","27","27","16","2019-12-18","0"
"21","45","21","20","20","12","2020-01-01","0"
"24","51","24","23","23","14","2020-01-15","0"
"26","36","26","24","24","15","2020-01-29","0"
"21","21","21","20","20","12","2020-02-12","0"
"8","8","8","7","7","4","2020-02-26","0"
"2","2","2","1","1","1","2020-07-29","0"
"21","21","21","20","20","12","2020-08-12","0"
"20","20","20","19","19","11","2020-08-26","0"
"24","24","24","23","23","14","2020-09-09","0"
"21","21","21","20","20","12","2020-09-23","0"
"24","24","24","23","23","14","2020-10-07","0"
"21","21","21","20","20","12","2020-10-21","0"
"27","27","27","26","26","15","2020-11-04","0"
"30","30","30","29","29","17","2020-11-18","0"
"27","27","27","26","26","15","2020-12-02","0"
"23","23","23","21","21","13","2020-12-16","0"
"21","21","21","20","20","12","2020-12-30","0"
"23","23","23","21","21","13","2021-01-13","0"
"23","23","23","21","21","13","2021-01-27","0"
"14","14","14","13","13","8","2021-02-10","0"
"23","23","23","21","21","13","2021-02-24","0"
"21","21","21","20","20","12","2021-03-10","0"
"21","21","21","20","20","12","2021-03-24","0"
"23","23","23","21","21","13","2021-04-07","0"
"21","21","21","20","20","12","2021-04-21","0"
"21","21","21","20","20","12","2021-05-05","0"
"21","21","21","20","20","12","2021-05-19","0"
