"122","492","597","1702","1716","1720","3834","3871","3964","4085","4094","4136","4182","10397","454187","date","other"
"","12","12","","","","","","","","","","","","","2015-09-03","26"
"","21","21","","","","","","","","","","","","","2015-09-17","45"
"","22","22","","","","","","","","","","","","","2015-10-01","47"
"","22","22","","","","","","","","","","","","","2015-10-15","47"
"","22","22","","","","","","","","","","","","","2015-10-29","47"
"","22","22","","","","","","","","","","","","","2015-11-12","47"
"4","26","26","","5","","","","","","","","","","","2015-11-26","51"
"10","32","32","","14","","","","","","","","","","","2015-12-10","58"
"10","32","32","","14","","","","","","","","","","","2015-12-24","58"
"10","32","32","","14","","","","","","","","","","","2016-01-07","58"
"11","32","32","","15","","","","","","","","","","","2016-01-21","59"
"11","33","32","","15","","","","","","","","","","","2016-02-04","61"
"11","33","32","","15","","","","","","","","","","","2016-02-18","61"
"11","33","32","","15","","","","","","","","","","","2016-03-03","61"
"11","33","32","5","15","","","","","","","","","","","2016-03-17","61"
"11","33","32","5","15","","","","","","","","","","","2016-03-31","61"
"11","33","32","6","15","","","","","","","","","","","2016-04-14","61"
"11","33","32","6","15","","","","","","","","","","","2016-04-28","61"
"11","33","32","6","15","","","","","","","","","","","2016-05-12","61"
"11","33","32","6","15","","","","","","","","","","","2016-05-26","61"
"11","33","32","6","15","","","","","","","","","","","2016-06-09","61"
"11","33","32","6","15","","","","","","","","","","","2016-06-23","61"
"11","33","32","6","15","","","","","","","","","","","2016-07-07","61"
"11","33","32","6","15","","","","","","","","","","","2016-07-21","61"
"11","33","32","6","15","","","","","","","","","","","2016-08-04","61"
"11","33","32","6","15","","","","","","","","","","","2016-08-18","61"
"11","33","32","6","15","","","","","","","","","","","2016-09-01","61"
"11","33","32","6","15","","","","","","","","","","","2016-09-15","61"
"11","33","32","6","15","","","","","","","","","","","2016-09-29","61"
"11","33","32","6","15","","","","","","","","","","","2016-10-13","61"
"11","33","32","7","15","","","","","","","","","","","2016-10-27","61"
"11","33","32","7","15","","","","","","","","","","","2016-11-10","61"
"11","33","32","7","15","","","","","","","","","","","2016-11-24","61"
"11","33","32","7","15","","","","","","","","","","","2016-12-08","61"
"11","33","32","7","15","","","","","","","","","","","2016-12-22","61"
"11","33","32","7","15","","","","","","","","","","","2017-01-05","61"
"11","33","32","7","15","","","","","","","","","","","2017-01-19","61"
"11","33","32","7","15","","","","","","","","","","","2017-02-02","61"
"10","31","30","7","14","","","","","","","","","","","2017-02-16","57"
"11","33","32","8","15","","","","","","","","","","","2017-03-02","61"
"4","5","5","1","2","","","","","","","","","","","2017-06-22","9"
