"113","597","1664","17894","date","other"
"","8","","","2017-10-13","0"
"","13","","","2017-10-27","0"
"","13","","","2017-11-10","0"
"","14","","","2017-11-24","0"
"","20","","","2017-12-08","0"
"","20","","","2017-12-22","0"
"","22","","","2018-01-05","0"
"","22","","","2018-01-19","0"
"","20","","","2018-02-02","0"
"","19","","","2018-02-16","0"
"","22","","","2018-03-02","0"
"","20","","","2018-03-16","0"
"","22","","","2018-03-30","0"
"","22","","","2018-04-13","0"
"","22","","","2018-04-27","0"
"","22","","","2018-05-11","0"
"3","22","","","2018-05-25","0"
"5","22","","","2018-06-08","0"
"5","22","","","2018-06-22","0"
"5","22","","","2018-07-06","0"
"5","23","","","2018-07-20","0"
"5","23","","","2018-08-03","0"
"5","23","","","2018-08-17","0"
"5","23","","","2018-08-31","0"
"5","21","","","2018-09-14","0"
"5","23","","","2018-09-28","0"
"5","23","","","2018-10-12","0"
"5","23","","","2018-10-26","0"
"5","23","","","2018-11-09","0"
"5","23","","","2018-11-23","0"
"5","23","","","2018-12-07","0"
"5","23","","","2018-12-21","0"
"5","23","","","2019-01-04","0"
"5","23","","","2019-01-18","0"
"5","23","","","2019-02-01","0"
"5","23","","","2019-02-15","0"
"5","23","","","2019-03-01","0"
"5","21","","","2019-03-15","0"
"5","23","","","2019-03-29","0"
"5","23","","","2019-04-12","0"
"5","23","","","2019-04-26","0"
"2","8","","","2019-05-10","0"
"4","15","","","2019-05-24","0"
"6","23","","","2019-06-07","0"
"6","21","","","2019-06-21","0"
"6","21","","","2019-07-05","0"
"6","25","","","2019-07-19","0"
"6","25","","","2019-08-02","0"
"6","21","","","2019-08-16","0"
"6","21","0","","2019-08-30","0"
"6","21","5","","2019-09-13","0"
"6","23","5","","2019-09-27","0"
"6","23","5","","2019-10-11","0"
"6","23","5","","2019-10-25","0"
"6","21","5","","2019-11-08","0"
"6","25","5","","2019-11-22","0"
"6","23","5","","2019-12-06","0"
"6","25","5","","2019-12-20","0"
"7","28","6","","2020-01-03","0"
"6","23","5","","2020-01-17","0"
"6","23","5","","2020-01-31","0"
"6","23","5","","2020-02-14","0"
"6","21","5","","2020-02-28","0"
"6","21","5","","2020-03-13","0"
"6","23","5","","2020-03-27","0"
"6","21","5","","2020-04-10","0"
"6","23","5","","2020-04-24","0"
"7","26","6","","2020-05-08","0"
"6","22","5","4","2020-05-22","0"
"7","24","6","5","2020-06-05","0"
"8","26","6","5","2020-06-19","0"
"8","27","7","6","2020-07-03","0"
"8","26","6","5","2020-07-17","0"
"7","24","6","5","2020-07-31","0"
"7","22","6","5","2020-08-14","0"
"7","24","6","5","2020-08-28","0"
"11","36","9","8","2020-09-11","0"
"7","24","6","5","2020-09-25","0"
"8","26","6","5","2020-10-09","0"
"8","26","6","5","2020-10-23","0"
"7","24","6","5","2020-11-06","0"
"9","29","7","6","2020-11-20","0"
"9","31","8","6","2020-12-04","0"
"10","34","9","7","2020-12-18","0"
"7","22","6","5","2021-01-01","0"
"8","26","6","5","2021-01-15","0"
"10","33","8","7","2021-01-29","0"
"7","22","6","5","2021-02-12","0"
"9","29","7","6","2021-02-26","0"
"7","24","6","5","2021-03-12","0"
"7","24","6","5","2021-03-26","0"
"7","24","6","5","2021-04-09","0"
"7","24","6","5","2021-04-23","0"
"7","24","6","5","2021-05-07","0"
"8","26","6","5","2021-05-21","0"
