"9","492","597","1664","4094","6129","date","other"
"21","22","24","10","","","2017-05-26","0"
"21","22","24","10","","","2017-06-09","0"
"21","22","24","10","","","2017-06-23","0"
"21","22","24","10","","","2017-07-07","0"
"21","22","24","10","","","2017-07-21","0"
"18","19","21","9","","","2017-08-04","0"
"18","19","21","9","","","2017-08-18","0"
"11","11","12","6","","","2017-09-01","0"
"18","19","21","10","","","2017-09-15","0"
"12","13","14","7","","","2017-09-29","0"
"15","16","18","9","","","2017-10-13","0"
"12","13","14","7","","","2017-10-27","0"
"14","14","16","8","","","2017-11-10","0"
"12","13","14","7","","","2017-11-24","0"
"14","14","16","8","","","2017-12-08","0"
"14","14","16","8","","","2017-12-22","0"
"17","17","20","10","","","2018-01-05","0"
"12","13","14","7","","","2018-01-19","0"
"14","14","16","8","","","2018-02-02","0"
"17","17","20","10","","","2018-02-16","0"
"15","16","19","10","","","2018-03-02","0"
"14","14","17","9","","","2018-03-16","0"
"17","17","20","11","","","2018-03-30","0"
"15","16","19","10","","","2018-04-13","0"
"21","22","26","14","","","2018-04-27","0"
"23","24","28","15","","","2018-05-11","0"
"21","22","26","14","","","2018-05-25","0"
"21","22","26","14","","","2018-06-08","0"
"21","22","26","16","","","2018-06-22","0"
"21","23","27","17","","","2018-07-06","0"
"21","23","27","17","","","2018-07-20","0"
"21","23","27","17","","","2018-08-03","0"
"21","23","27","17","","","2018-08-17","0"
"21","24","27","18","","","2018-08-31","0"
"21","24","27","18","","","2018-09-14","0"
"21","24","27","18","","","2018-09-28","0"
"21","24","27","18","","","2018-10-12","0"
"21","24","27","18","","","2018-10-26","0"
"21","24","27","18","1","","2018-11-09","0"
"21","24","27","18","5","","2018-11-23","0"
"21","24","27","18","5","","2018-12-07","0"
"21","24","27","18","5","","2018-12-21","0"
"21","24","27","18","5","","2019-01-04","0"
"21","24","27","17","5","","2019-01-18","0"
"21","24","27","17","5","","2019-02-01","0"
"21","24","27","17","5","","2019-02-15","0"
"21","25","27","18","6","","2019-03-01","0"
"11","13","14","9","3","","2019-03-15","0"
"6","7","8","5","2","","2019-03-29","0"
"20","24","26","17","6","","2019-04-12","0"
"21","26","28","19","7","","2019-04-26","0"
"6","7","8","5","2","","2019-05-10","0"
"16","21","21","18","8","","2019-05-24","0"
"23","29","30","25","11","","2019-06-07","0"
"23","29","30","25","11","","2019-06-21","0"
"23","30","31","25","11","","2019-07-05","0"
"26","34","35","29","13","","2019-07-19","0"
"25","32","33","27","12","","2019-08-02","0"
"27","36","38","30","13","","2019-08-16","0"
"24","32","33","27","12","","2019-08-30","0"
"24","32","33","27","12","","2019-09-13","0"
"22","30","31","25","11","","2019-09-27","0"
"22","30","31","25","11","","2019-10-11","0"
"22","30","31","25","11","","2019-10-25","0"
"20","28","29","23","10","","2019-11-08","0"
"24","32","33","27","12","","2019-11-22","0"
"24","32","33","27","12","","2019-12-06","0"
"27","36","38","30","13","","2019-12-20","0"
"19","26","27","21","9","","2020-01-03","0"
"22","30","31","25","11","","2020-01-17","0"
"24","32","33","27","12","","2020-01-31","0"
"22","30","31","25","11","","2020-02-14","0"
"28","39","40","32","14","","2020-02-28","0"
"25","34","35","29","13","","2020-03-13","0"
"20","28","29","23","10","","2020-03-27","0"
"20","28","29","23","10","","2020-04-10","0"
"24","32","33","27","12","","2020-04-24","0"
"22","30","31","25","11","","2020-05-08","0"
"20","28","29","23","10","","2020-05-22","0"
"24","32","33","27","12","","2020-06-05","0"
"22","30","31","25","11","","2020-06-19","0"
"22","30","31","25","11","","2020-07-03","0"
"19","26","27","21","9","","2020-07-17","0"
"20","28","29","23","10","","2020-07-31","0"
"20","28","29","23","10","","2020-08-14","0"
"24","32","33","27","12","","2020-08-28","0"
"22","30","31","25","11","","2020-09-11","0"
"25","34","35","30","13","","2020-09-25","0"
"27","36","38","32","13","","2020-10-09","0"
"27","36","38","32","13","","2020-10-23","0"
"22","30","31","26","11","","2020-11-06","0"
"22","30","31","26","11","","2020-11-20","0"
"28","39","40","33","14","","2020-12-04","0"
"28","39","40","34","14","","2020-12-18","0"
"22","29","31","27","11","3","2021-01-01","0"
"24","31","33","29","12","5","2021-01-15","0"
"25","33","35","31","13","6","2021-01-29","0"
"20","27","29","25","10","5","2021-02-12","0"
"30","39","42","37","15","7","2021-02-26","0"
"22","29","31","27","11","5","2021-03-12","0"
"22","29","31","27","11","5","2021-03-26","0"
"22","29","31","27","11","5","2021-04-09","0"
"22","29","31","27","11","5","2021-04-23","0"
"22","29","31","27","11","5","2021-05-07","0"
"22","29","31","27","11","5","2021-05-21","0"
