"599","701","date","other"
"6","10","2017-01-06","0"
"22","37","2017-01-20","0"
"22","37","2017-02-03","0"
"20","34","2017-02-17","0"
"22","37","2017-03-03","0"
"20","34","2017-03-17","0"
"22","37","2017-03-31","0"
"22","37","2017-04-14","0"
"22","37","2017-04-28","0"
"22","37","2017-05-12","0"
"22","37","2017-05-26","0"
"22","37","2017-06-09","0"
"22","37","2017-06-23","0"
"22","38","2017-07-07","0"
"22","38","2017-07-21","0"
"19","33","2017-08-04","0"
"19","33","2017-08-18","0"
"11","19","2017-09-01","0"
"16","27","2017-09-15","0"
"16","27","2017-09-29","0"
"17","30","2017-10-13","0"
"20","35","2017-10-27","0"
"19","33","2017-11-10","0"
"17","30","2017-11-24","0"
"22","38","2017-12-08","0"
"19","33","2017-12-22","0"
"20","35","2018-01-05","0"
"14","24","2018-01-19","0"
"14","24","2018-02-02","0"
"17","30","2018-02-16","0"
"18","33","2018-03-02","0"
"15","27","2018-03-16","0"
"19","33","2018-03-30","0"
"14","24","2018-04-13","0"
"22","38","2018-04-27","0"
"22","38","2018-05-11","0"
"24","41","2018-05-25","0"
"22","38","2018-06-08","0"
"22","38","2018-06-22","0"
"22","38","2018-07-06","0"
"22","38","2018-07-20","0"
"22","38","2018-08-03","0"
"22","39","2018-08-17","0"
"22","39","2018-08-31","0"
"22","39","2018-09-14","0"
"22","39","2018-09-28","0"
"22","39","2018-10-12","0"
"22","39","2018-10-26","0"
"22","39","2018-11-09","0"
"22","39","2018-11-23","0"
"22","39","2018-12-07","0"
"22","39","2018-12-21","0"
"22","39","2019-01-04","0"
"22","39","2019-01-18","0"
"22","39","2019-02-01","0"
"22","39","2019-02-15","0"
"22","39","2019-03-01","0"
"19","33","2019-03-15","0"
"19","34","2019-03-29","0"
"20","37","2019-04-12","0"
"22","40","2019-04-26","0"
"6","11","2019-05-10","0"
"17","31","2019-05-24","0"
"22","40","2019-06-07","0"
"24","43","2019-06-21","0"
"22","40","2019-07-05","0"
"22","40","2019-07-19","0"
"25","46","2019-08-02","0"
"20","37","2019-08-16","0"
"22","40","2019-08-30","0"
"19","34","2019-09-13","0"
"24","43","2019-09-27","0"
"24","43","2019-10-11","0"
"22","40","2019-10-25","0"
"20","37","2019-11-08","0"
"25","46","2019-11-22","0"
"24","43","2019-12-06","0"
"27","49","2019-12-20","0"
"22","40","2020-01-03","0"
"25","46","2020-01-17","0"
"24","43","2020-01-31","0"
"24","43","2020-02-14","0"
"27","49","2020-02-28","0"
"20","37","2020-03-13","0"
"22","40","2020-03-27","0"
"24","43","2020-04-10","0"
"25","46","2020-04-24","0"
"24","43","2020-05-08","0"
"20","37","2020-05-22","0"
"22","40","2020-06-05","0"
"24","43","2020-06-19","0"
"24","43","2020-07-03","0"
"22","40","2020-07-17","0"
"22","40","2020-07-31","0"
"24","43","2020-08-14","0"
"24","43","2020-08-28","0"
"24","43","2020-09-11","0"
"20","37","2020-09-25","0"
"25","46","2020-10-09","0"
"25","46","2020-10-23","0"
"27","49","2020-11-06","0"
"24","43","2020-11-20","0"
"27","49","2020-12-04","0"
"25","46","2020-12-18","0"
"22","40","2021-01-01","0"
"28","51","2021-01-15","0"
"24","43","2021-01-29","0"
"16","29","2021-02-12","0"
"20","37","2021-02-26","0"
"22","40","2021-03-12","0"
"22","40","2021-03-26","0"
"22","40","2021-04-09","0"
"22","40","2021-04-23","0"
"24","43","2021-05-07","0"
"22","40","2021-05-21","0"
