"19","492","493","1685","1716","42804","date","other"
"18","13","20","7","","","2017-11-10","0"
"20","14","23","8","","","2017-11-24","0"
"31","22","25","12","","","2017-12-08","0"
"30","21","","12","","","2017-12-22","0"
"32","23","","13","","","2018-01-05","0"
"32","23","","13","","","2018-01-19","0"
"32","23","","13","","","2018-02-02","0"
"27","20","","11","","","2018-02-16","0"
"32","23","","13","","","2018-03-02","0"
"32","23","","13","","","2018-03-16","0"
"32","23","","13","","","2018-03-30","0"
"30","21","","12","","","2018-04-13","0"
"32","23","","13","","","2018-04-27","0"
"32","23","","13","","","2018-05-11","0"
"32","23","","13","","","2018-05-25","0"
"32","23","","13","","","2018-06-08","0"
"32","23","","13","11","","2018-06-22","0"
"32","23","","14","14","","2018-07-06","0"
"32","23","","14","14","","2018-07-20","0"
"32","23","","14","14","","2018-08-03","0"
"32","23","","14","14","","2018-08-17","0"
"32","23","","14","14","","2018-08-31","0"
"32","23","","14","14","","2018-09-14","0"
"28","27","","14","14","","2018-09-28","0"
"22","33","","14","14","","2018-10-12","0"
"22","33","","14","14","","2018-10-26","0"
"22","33","","14","14","","2018-11-09","0"
"22","33","","14","14","","2018-11-23","0"
"22","33","","14","14","","2018-12-07","0"
"22","33","","14","14","","2018-12-21","0"
"22","33","","14","14","","2019-01-04","0"
"22","33","","14","14","","2019-01-18","0"
"22","33","","14","14","","2019-02-01","0"
"22","33","","14","14","","2019-02-15","0"
"22","33","","14","14","","2019-03-01","0"
"20","31","","13","13","","2019-03-15","0"
"22","33","","14","14","","2019-03-29","0"
"22","33","","14","14","","2019-04-12","0"
"22","33","","14","14","","2019-04-26","0"
"8","12","","5","5","","2019-05-10","0"
"16","24","","10","9","","2019-05-24","0"
"24","35","","15","13","","2019-06-07","0"
"22","33","","14","11","","2019-06-21","0"
"22","33","","14","11","","2019-07-05","0"
"22","33","","14","11","","2019-07-19","0"
"22","33","","14","9","","2019-08-02","0"
"20","31","","13","8","","2019-08-16","0"
"22","33","","14","9","","2019-08-30","0"
"22","33","","14","9","","2019-09-13","0"
"22","33","","15","10","","2019-09-27","0"
"22","33","","15","10","","2019-10-11","0"
"22","33","","15","10","","2019-10-25","0"
"20","31","","14","9","","2019-11-08","0"
"22","33","","15","10","","2019-11-22","0"
"22","33","","15","10","5","2019-12-06","0"
"24","35","","16","11","27","2019-12-20","0"
"22","33","","15","10","25","2020-01-03","0"
"22","33","","15","10","25","2020-01-17","0"
"22","33","","15","10","25","2020-01-31","0"
"24","35","","16","11","27","2020-02-14","0"
"24","35","","16","11","27","2020-02-28","0"
"19","28","","13","9","21","2020-03-13","0"
"22","33","","15","10","25","2020-03-27","0"
"22","33","","15","10","25","2020-04-10","0"
"20","31","","14","9","23","2020-04-24","0"
"22","33","","15","10","25","2020-05-08","0"
"25","38","","17","11","29","2020-05-22","0"
"22","33","","15","10","25","2020-06-05","0"
"24","35","","16","11","27","2020-06-19","0"
"22","33","","15","10","25","2020-07-03","0"
"19","28","","13","9","21","2020-07-17","0"
"27","40","","18","12","30","2020-07-31","0"
"20","31","","14","9","23","2020-08-14","0"
"20","31","","14","9","23","2020-08-28","0"
"20","31","","14","8","23","2020-09-11","0"
"25","38","","17","10","29","2020-09-25","0"
"24","35","","16","10","27","2020-10-09","0"
"20","31","","14","8","23","2020-10-23","0"
"24","35","","16","10","27","2020-11-06","0"
"27","40","","18","11","30","2020-11-20","0"
"25","38","","17","10","29","2020-12-04","0"
"20","31","","14","8","23","2020-12-18","0"
"27","40","","18","11","30","2021-01-01","0"
"27","40","","18","11","30","2021-01-15","0"
"24","35","","16","10","27","2021-01-29","0"
"14","21","","10","6","16","2021-02-12","0"
"25","38","","17","10","29","2021-02-26","0"
"22","33","","15","9","25","2021-03-12","0"
"22","33","","15","9","25","2021-03-26","0"
"22","33","","15","9","25","2021-04-09","0"
"22","33","","15","9","25","2021-04-23","0"
"22","33","","15","9","25","2021-05-07","0"
"22","33","","15","9","25","2021-05-21","0"
