"9","19","492","3835","3871","3964","date","other"
"","11","","","","","2017-01-20","0"
"9","22","9","","","5","2017-02-03","0"
"20","22","21","","","5","2017-02-17","0"
"20","22","21","","","5","2017-03-03","0"
"20","22","21","","","5","2017-03-17","0"
"20","22","21","","","5","2017-03-31","0"
"20","22","21","","","5","2017-04-14","0"
"20","22","21","","","5","2017-04-28","0"
"21","24","22","","","6","2017-05-12","0"
"21","25","23","","","7","2017-05-26","0"
"21","25","23","","","7","2017-06-09","0"
"21","25","23","","","7","2017-06-23","0"
"21","25","23","","","7","2017-07-07","0"
"20","23","21","3","","7","2017-07-21","0"
"20","23","22","5","","7","2017-08-04","0"
"19","22","21","5","","7","2017-08-18","0"
"13","15","14","4","","5","2017-09-01","0"
"19","22","21","6","","8","2017-09-15","0"
"14","17","15","5","","6","2017-09-29","0"
"20","24","22","7","","8","2017-10-13","0"
"14","17","15","5","","6","2017-10-27","0"
"16","19","17","5","","6","2017-11-10","0"
"14","17","15","5","","6","2017-11-24","0"
"20","24","22","7","","8","2017-12-08","0"
"19","22","21","6","","8","2017-12-22","0"
"20","24","22","7","","8","2018-01-05","0"
"14","17","15","5","","6","2018-01-19","0"
"19","22","21","6","","8","2018-02-02","0"
"19","22","21","6","","8","2018-02-16","0"
"17","20","19","6","","7","2018-03-02","0"
"17","20","19","6","","7","2018-03-16","0"
"20","24","22","7","","8","2018-03-30","0"
"17","20","19","6","","7","2018-04-13","0"
"26","32","29","9","","11","2018-04-27","0"
"23","29","25","8","","10","2018-05-11","0"
"21","27","23","7","","9","2018-05-25","0"
"21","27","23","7","","9","2018-06-08","0"
"21","27","23","7","","9","2018-06-22","0"
"21","27","23","7","","9","2018-07-06","0"
"21","27","23","7","","9","2018-07-20","0"
"21","27","23","7","","9","2018-08-03","0"
"23","29","25","8","","10","2018-08-17","0"
"21","27","23","7","","9","2018-08-31","0"
"21","27","23","7","","9","2018-09-14","0"
"21","27","23","7","","9","2018-09-28","0"
"21","27","23","7","","9","2018-10-12","0"
"21","27","23","7","","9","2018-10-26","0"
"21","27","23","7","","9","2018-11-09","0"
"21","27","23","7","","9","2018-11-23","0"
"21","27","23","7","","9","2018-12-07","0"
"21","27","23","7","","9","2018-12-21","0"
"21","27","23","7","","9","2019-01-04","0"
"21","27","23","7","","9","2019-01-18","0"
"21","27","23","7","","9","2019-02-01","0"
"21","27","23","7","","9","2019-02-15","0"
"21","27","23","7","","9","2019-03-01","0"
"11","14","12","4","","5","2019-03-15","0"
"8","10","8","3","","3","2019-03-29","0"
"20","25","21","7","","8","2019-04-12","0"
"21","27","23","7","","9","2019-04-26","0"
"6","8","7","2","","3","2019-05-10","0"
"15","19","16","5","","6","2019-05-24","0"
"26","33","28","9","","11","2019-06-07","0"
"21","27","23","7","","9","2019-06-21","0"
"21","27","23","7","","9","2019-07-05","0"
"21","27","23","7","","9","2019-07-19","0"
"21","27","23","7","","9","2019-08-02","0"
"18","23","20","6","","8","2019-08-16","0"
"21","27","23","7","","9","2019-08-30","0"
"18","23","20","6","","8","2019-09-13","0"
"21","27","23","7","","9","2019-09-27","0"
"21","27","23","7","","9","2019-10-11","0"
"21","27","23","7","","9","2019-10-25","0"
"18","23","20","6","","8","2019-11-08","0"
"20","25","21","7","","8","2019-11-22","0"
"21","27","23","7","","9","2019-12-06","0"
"24","31","26","8","","10","2019-12-20","0"
"18","23","20","6","","8","2020-01-03","0"
"20","25","21","7","","8","2020-01-17","0"
"20","25","21","7","","8","2020-01-31","0"
"21","27","23","7","","9","2020-02-14","0"
"23","29","25","8","","10","2020-02-28","0"
"20","25","21","7","","8","2020-03-13","0"
"23","29","25","8","","10","2020-03-27","0"
"21","27","23","7","2","9","2020-04-10","0"
"20","25","21","7","5","8","2020-04-24","0"
"21","27","23","7","5","9","2020-05-08","0"
"20","25","21","7","5","8","2020-05-22","0"
"23","29","25","8","5","10","2020-06-05","0"
"20","25","21","7","5","8","2020-06-19","0"
"23","29","25","8","5","10","2020-07-03","0"
"18","23","20","6","4","8","2020-07-17","0"
"24","31","26","8","6","10","2020-07-31","0"
"18","23","20","6","4","8","2020-08-14","0"
"21","26","23","6","5","8","2020-08-28","0"
"20","24","21","6","5","7","2020-09-11","0"
"24","30","26","7","6","9","2020-09-25","0"
"27","33","30","8","6","10","2020-10-09","0"
"21","26","23","6","5","8","2020-10-23","0"
"21","26","23","6","5","8","2020-11-06","0"
"27","33","30","8","6","10","2020-11-20","0"
"26","32","28","7","6","10","2020-12-04","0"
"26","32","28","7","6","10","2020-12-18","0"
"24","30","26","7","6","9","2021-01-01","0"
"26","32","28","7","6","10","2021-01-15","0"
"23","28","25","6","5","9","2021-01-29","0"
"17","20","18","5","4","6","2021-02-12","0"
"20","24","21","6","5","7","2021-02-26","0"
"21","26","23","6","5","8","2021-03-12","0"
"23","28","25","6","5","9","2021-03-26","0"
"23","28","25","6","5","9","2021-04-09","0"
"21","26","23","6","5","8","2021-04-23","0"
"21","26","23","6","5","8","2021-05-07","0"
"21","26","23","6","5","8","2021-05-21","0"
