"599","21978","date","other"
"6","2","2018-03-14","0"
"13","4","2018-03-28","0"
"16","5","2018-04-11","0"
"22","7","2018-04-25","0"
"22","7","2018-05-09","0"
"22","7","2018-05-23","0"
"22","7","2018-06-06","0"
"22","7","2018-06-20","0"
"22","7","2018-07-04","0"
"22","7","2018-07-18","0"
"22","7","2018-08-01","0"
"22","7","2018-08-15","0"
"22","7","2018-08-29","0"
"22","7","2018-09-12","0"
"22","7","2018-09-26","0"
"22","7","2018-10-10","0"
"22","7","2018-10-24","0"
"22","7","2018-11-07","0"
"22","7","2018-11-21","0"
"22","7","2018-12-05","0"
"22","7","2018-12-19","0"
"22","7","2019-01-02","0"
"22","7","2019-01-16","0"
"22","7","2019-01-30","0"
"22","7","2019-02-13","0"
"22","7","2019-02-27","0"
"11","4","2019-03-13","0"
"2","1","2019-03-27","0"
"20","7","2019-04-10","0"
"22","7","2019-04-24","0"
"11","4","2019-05-08","0"
"13","5","2019-05-22","0"
"22","8","2019-06-05","0"
"22","8","2019-06-19","0"
"22","8","2019-07-03","0"
"22","8","2019-07-17","0"
"22","8","2019-07-31","0"
"22","9","2019-08-14","0"
"22","9","2019-08-28","0"
"22","9","2019-09-11","0"
"22","9","2019-09-25","0"
"22","9","2019-10-09","0"
"22","9","2019-10-23","0"
"20","8","2019-11-06","0"
"20","8","2019-11-20","0"
"22","9","2019-12-04","0"
"22","9","2019-12-18","0"
"22","9","2020-01-01","0"
"22","9","2020-01-15","0"
"20","8","2020-01-29","0"
"20","8","2020-02-12","0"
"24","10","2020-02-26","0"
"22","9","2020-03-11","0"
"22","9","2020-03-25","0"
"19","8","2020-04-08","0"
"20","8","2020-04-22","0"
"22","9","2020-05-06","0"
"20","8","2020-05-20","0"
"25","10","2020-06-03","0"
"22","9","2020-06-17","0"
"22","9","2020-07-01","0"
"19","8","2020-07-15","0"
"22","9","2020-07-29","0"
"20","8","2020-08-12","0"
"22","9","2020-08-26","0"
"20","8","2020-09-09","0"
"22","9","2020-09-23","0"
"22","9","2020-10-07","0"
"19","8","2020-10-21","0"
"28","12","2020-11-04","0"
"27","11","2020-11-18","0"
"24","10","2020-12-02","0"
"22","9","2020-12-16","0"
"25","10","2020-12-30","0"
"33","14","2021-01-13","0"
"24","10","2021-01-27","0"
"14","6","2021-02-10","0"
"22","9","2021-02-24","0"
"22","9","2021-03-10","0"
"22","9","2021-03-24","0"
"22","9","2021-04-07","0"
"22","9","2021-04-21","0"
"22","9","2021-05-05","0"
"22","9","2021-05-19","0"
