"113","597","379975","615955","date","other"
"2","2","1","","2017-09-15","0"
"22","19","7","","2017-09-29","0"
"20","16","7","","2017-10-13","0"
"16","14","6","","2017-10-27","0"
"15","12","6","","2017-11-10","0"
"24","20","9","","2017-11-24","0"
"17","14","7","","2017-12-08","0"
"17","14","7","","2017-12-22","0"
"19","16","8","","2018-01-05","0"
"19","16","8","","2018-01-19","0"
"17","14","7","","2018-02-02","0"
"15","13","7","","2018-02-16","0"
"22","18","10","","2018-03-02","0"
"16","13","7","","2018-03-16","0"
"20","16","9","","2018-03-30","0"
"20","16","9","","2018-04-13","0"
"31","25","14","","2018-04-27","0"
"31","25","14","","2018-05-11","0"
"31","25","13","","2018-05-25","0"
"31","25","13","","2018-06-08","0"
"31","25","13","","2018-06-22","0"
"31","25","13","","2018-07-06","0"
"31","25","13","","2018-07-20","0"
"31","25","13","","2018-08-03","0"
"31","25","13","","2018-08-17","0"
"31","25","13","","2018-08-31","0"
"31","25","13","","2018-09-14","0"
"31","25","13","","2018-09-28","0"
"31","25","13","","2018-10-12","0"
"31","25","12","","2018-10-26","0"
"31","25","13","","2018-11-09","0"
"31","25","13","","2018-11-23","0"
"31","25","13","","2018-12-07","0"
"31","25","13","","2018-12-21","0"
"31","25","13","","2019-01-04","0"
"29","23","12","","2019-01-18","0"
"31","25","13","","2019-02-01","0"
"31","25","13","","2019-02-15","0"
"31","25","13","","2019-03-01","0"
"20","16","8","","2019-03-15","0"
"7","5","3","","2019-03-29","0"
"29","23","12","","2019-04-12","0"
"31","25","13","","2019-04-26","0"
"11","9","5","","2019-05-10","0"
"28","19","16","","2019-05-24","0"
"39","27","22","","2019-06-07","0"
"39","27","22","","2019-06-21","0"
"39","27","22","","2019-07-05","0"
"39","27","22","","2019-07-19","0"
"45","31","25","","2019-08-02","0"
"33","23","19","","2019-08-16","0"
"39","27","22","","2019-08-30","0"
"36","25","20","","2019-09-13","0"
"39","27","22","","2019-09-27","0"
"45","31","25","","2019-10-11","0"
"39","27","22","","2019-10-25","0"
"42","29","24","","2019-11-08","0"
"43","30","25","","2019-11-22","0"
"37","26","21","","2019-12-06","0"
"40","28","23","","2019-12-20","0"
"43","30","25","","2020-01-03","0"
"46","32","26","","2020-01-17","0"
"40","28","23","","2020-01-31","0"
"40","28","23","","2020-02-14","0"
"43","30","25","","2020-02-28","0"
"43","30","25","","2020-03-13","0"
"40","28","23","","2020-03-27","0"
"37","26","21","","2020-04-10","0"
"37","26","21","","2020-04-24","0"
"46","32","26","","2020-05-08","0"
"37","26","21","","2020-05-22","0"
"43","30","25","","2020-06-05","0"
"46","33","27","","2020-06-19","0"
"40","29","24","","2020-07-03","0"
"40","29","24","","2020-07-17","0"
"46","33","27","","2020-07-31","0"
"34","25","21","","2020-08-14","0"
"46","33","27","","2020-08-28","0"
"46","33","27","","2020-09-11","0"
"37","27","22","","2020-09-25","0"
"46","33","27","","2020-10-09","0"
"46","33","27","","2020-10-23","0"
"57","41","34","","2020-11-06","0"
"43","31","26","","2020-11-20","0"
"43","31","26","","2020-12-04","0"
"43","31","26","","2020-12-18","0"
"37","27","22","1","2021-01-01","0"
"43","31","26","5","2021-01-15","0"
"43","31","26","5","2021-01-29","0"
"29","21","17","4","2021-02-12","0"
"40","29","24","5","2021-02-26","0"
"40","29","24","5","2021-03-12","0"
"40","29","24","5","2021-03-26","0"
"40","29","24","5","2021-04-09","0"
"40","29","24","5","2021-04-23","0"
"40","29","24","5","2021-05-07","0"
"40","29","24","5","2021-05-21","0"
