"21","492","1698","1742","1756","3799","date","other"
"31","29","","10","10","9","2017-11-22","0"
"33","31","","11","11","10","2017-12-06","0"
"33","31","1","11","11","10","2017-12-20","0"
"44","42","16","22","22","21","2018-01-03","0"
"64","62","36","42","42","41","2018-01-17","0"
"72","62","36","42","42","41","2018-01-31","0"
"74","62","36","42","42","41","2018-02-14","0"
"74","62","36","42","42","41","2018-02-28","0"
"74","62","36","42","42","41","2018-03-14","0"
"69","58","33","39","39","38","2018-03-28","0"
"74","62","36","42","42","41","2018-04-11","0"
"74","62","36","42","42","41","2018-04-25","0"
"74","62","36","42","42","41","2018-05-09","0"
"74","62","37","43","42","42","2018-05-23","0"
"74","62","37","43","42","42","2018-06-06","0"
"74","62","37","43","42","43","2018-06-20","0"
"74","62","37","43","42","43","2018-07-04","0"
"74","62","37","43","42","43","2018-07-18","0"
"74","62","37","43","42","43","2018-08-01","0"
"74","62","37","43","42","43","2018-08-15","0"
"74","62","37","43","42","43","2018-08-29","0"
"74","62","38","44","42","43","2018-09-12","0"
"74","62","38","44","42","43","2018-09-26","0"
"74","62","38","44","42","43","2018-10-10","0"
"74","62","38","44","42","43","2018-10-24","0"
"74","62","38","44","42","43","2018-11-07","0"
"74","62","38","44","42","43","2018-11-21","0"
"74","62","38","44","42","43","2018-12-05","0"
"74","62","38","44","42","43","2018-12-19","0"
"74","62","38","44","42","43","2019-01-02","0"
"69","58","35","41","39","40","2019-01-16","0"
"74","62","38","44","42","43","2019-01-30","0"
"74","62","38","44","42","43","2019-02-13","0"
"74","62","38","44","42","43","2019-02-27","0"
"74","62","38","44","42","43","2019-03-13","0"
"53","44","27","31","30","31","2019-03-27","0"
"74","62","38","44","42","43","2019-04-10","0"
"74","62","38","44","42","43","2019-04-24","0"
"37","31","19","22","21","22","2019-05-08","0"
"42","35","22","25","24","25","2019-05-22","0"
"74","62","38","44","42","43","2019-06-05","0"
"74","62","38","44","42","43","2019-06-19","0"
"74","62","38","44","42","43","2019-07-03","0"
"74","62","38","44","42","43","2019-07-17","0"
"79","66","41","47","45","46","2019-07-31","0"
"74","62","38","44","42","43","2019-08-14","0"
"69","58","35","41","39","40","2019-08-28","0"
"74","62","38","44","42","43","2019-09-11","0"
"79","66","41","47","45","46","2019-09-25","0"
"85","71","43","50","48","49","2019-10-09","0"
"74","62","38","44","42","43","2019-10-23","0"
"74","62","38","44","42","43","2019-11-06","0"
"79","66","41","47","45","46","2019-11-20","0"
"74","62","38","44","42","43","2019-12-04","0"
"83","71","38","44","42","43","2019-12-18","0"
"72","62","33","38","36","37","2020-01-01","0"
"84","72","38","44","42","43","2020-01-15","0"
"96","82","43","50","48","49","2020-01-29","0"
"84","72","38","44","42","43","2020-02-12","0"
"102","87","46","53","51","52","2020-02-26","0"
"84","72","38","44","42","43","2020-03-11","0"
"78","67","35","41","39","40","2020-03-25","0"
"72","62","33","38","36","37","2020-04-08","0"
"78","67","35","41","39","40","2020-04-22","0"
"84","72","38","44","42","43","2020-05-06","0"
"84","72","38","44","42","43","2020-05-20","0"
"90","77","41","47","45","46","2020-06-03","0"
"84","72","38","44","42","43","2020-06-17","0"
"84","72","38","44","42","43","2020-07-01","0"
"78","67","35","41","39","40","2020-07-15","0"
"84","72","38","44","42","43","2020-07-29","0"
"72","62","33","38","36","37","2020-08-12","0"
"84","72","38","44","42","43","2020-08-26","0"
"84","72","38","44","42","43","2020-09-09","0"
"90","77","41","47","45","46","2020-09-23","0"
"102","87","46","53","51","52","2020-10-07","0"
"66","57","30","35","33","34","2020-10-21","0"
"96","82","43","50","48","49","2020-11-04","0"
"96","82","43","50","48","49","2020-11-18","0"
"90","77","41","47","45","46","2020-12-02","0"
"90","77","41","47","45","46","2020-12-16","0"
"96","82","43","50","48","49","2020-12-30","0"
"102","87","46","53","51","52","2021-01-13","0"
"90","77","41","47","45","46","2021-01-27","0"
"66","57","30","35","33","34","2021-02-10","0"
"84","72","38","44","42","43","2021-02-24","0"
"84","72","38","44","42","43","2021-03-10","0"
"84","72","38","44","42","43","2021-03-24","0"
"84","72","38","44","42","43","2021-04-07","0"
"84","72","38","44","42","43","2021-04-21","0"
"84","72","38","44","42","43","2021-05-05","0"
"90","77","41","47","45","46","2021-05-19","0"
