"128","492","493","599","699","date","other"
"22","22","28","25","24","2017-04-28","0"
"24","22","29","26","24","2017-05-12","0"
"24","22","28","25","24","2017-05-26","0"
"22","20","26","23","22","2017-06-09","0"
"24","22","28","25","24","2017-06-23","0"
"24","22","28","25","24","2017-07-07","0"
"22","20","26","23","22","2017-07-21","0"
"21","19","24","21","21","2017-08-04","0"
"21","19","24","22","21","2017-08-18","0"
"13","12","15","13","13","2017-09-01","0"
"20","18","23","20","20","2017-09-15","0"
"18","16","21","19","18","2017-09-29","0"
"20","18","23","20","20","2017-10-13","0"
"16","15","19","17","16","2017-10-27","0"
"14","13","17","15","14","2017-11-10","0"
"16","15","19","17","16","2017-11-24","0"
"16","15","19","17","16","2017-12-08","0"
"14","13","17","15","14","2017-12-22","0"
"13","12","15","13","13","2018-01-05","0"
"17","15","19","17","16","2018-01-19","0"
"15","14","17","15","15","2018-02-02","0"
"15","14","17","15","15","2018-02-16","0"
"19","18","21","19","19","2018-03-02","0"
"17","16","19","17","17","2018-03-16","0"
"17","16","19","17","17","2018-03-30","0"
"15","14","17","15","15","2018-04-13","0"
"26","25","29","26","26","2018-04-27","0"
"26","25","29","26","26","2018-05-11","0"
"26","25","29","26","26","2018-05-25","0"
"24","23","27","24","24","2018-06-08","0"
"26","25","29","26","26","2018-06-22","0"
"26","25","29","26","26","2018-07-06","0"
"26","25","55","26","26","2018-07-20","0"
"26","25","55","26","26","2018-08-03","0"
"26","25","55","26","26","2018-08-17","0"
"26","25","55","26","26","2018-08-31","0"
"26","25","55","26","26","2018-09-14","0"
"26","25","55","26","26","2018-09-28","0"
"26","25","55","26","26","2018-10-12","0"
"26","25","55","26","26","2018-10-26","0"
"26","25","55","26","26","2018-11-09","0"
"26","25","55","26","26","2018-11-23","0"
"26","25","55","26","26","2018-12-07","0"
"26","25","55","26","26","2018-12-21","0"
"26","25","55","26","26","2019-01-04","0"
"26","25","55","26","26","2019-01-18","0"
"26","25","55","26","26","2019-02-01","0"
"26","25","55","26","26","2019-02-15","0"
"26","25","55","26","26","2019-03-01","0"
"19","18","39","19","19","2019-03-15","0"
"13","13","28","13","13","2019-03-29","0"
"24","23","51","24","24","2019-04-12","0"
"26","25","55","26","26","2019-04-26","0"
"7","7","16","7","7","2019-05-10","0"
"19","18","39","19","19","2019-05-24","0"
"26","25","55","26","26","2019-06-07","0"
"26","25","55","26","26","2019-06-21","0"
"26","25","55","26","26","2019-07-05","0"
"24","23","51","24","24","2019-07-19","0"
"26","25","55","26","26","2019-08-02","0"
"22","21","47","22","22","2019-08-16","0"
"26","25","55","26","26","2019-08-30","0"
"26","25","55","26","26","2019-09-13","0"
"26","25","55","26","26","2019-09-27","0"
"30","29","63","30","30","2019-10-11","0"
"26","25","55","26","26","2019-10-25","0"
"20","20","43","20","20","2019-11-08","0"
"24","23","51","24","24","2019-11-22","0"
"26","25","55","26","26","2019-12-06","0"
"24","23","51","24","24","2019-12-20","0"
"24","23","51","24","24","2020-01-03","0"
"26","25","55","26","26","2020-01-17","0"
"26","25","34","26","26","2020-01-31","0"
"28","27","28","28","28","2020-02-14","0"
"28","27","28","28","28","2020-02-28","0"
"26","25","26","26","26","2020-03-13","0"
"28","27","28","28","28","2020-03-27","0"
"26","25","26","26","26","2020-04-10","0"
"24","23","24","24","24","2020-04-24","0"
"26","25","26","26","26","2020-05-08","0"
"26","25","26","26","26","2020-05-22","0"
"28","27","28","28","28","2020-06-05","0"
"24","23","24","24","24","2020-06-19","0"
"28","27","28","28","28","2020-07-03","0"
"26","25","26","26","26","2020-07-17","0"
"24","23","24","24","24","2020-07-31","0"
"22","21","22","22","22","2020-08-14","0"
"28","27","28","28","28","2020-08-28","0"
"22","21","22","22","22","2020-09-11","0"
"28","27","28","28","28","2020-09-25","0"
"28","27","28","28","28","2020-10-09","0"
"32","30","32","32","32","2020-10-23","0"
"30","29","30","30","30","2020-11-06","0"
"45","43","45","45","45","2020-11-20","0"
"37","36","37","37","37","2020-12-04","0"
"32","30","32","32","32","2020-12-18","0"
"30","29","30","30","30","2021-01-01","0"
"41","39","41","41","41","2021-01-15","0"
"24","23","24","24","24","2021-01-29","0"
"17","16","17","17","17","2021-02-12","0"
"28","27","28","28","28","2021-02-26","0"
"26","25","26","26","26","2021-03-12","0"
"28","27","28","28","28","2021-03-26","0"
"28","27","28","28","28","2021-04-09","0"
"26","25","26","26","26","2021-04-23","0"
"28","27","28","28","28","2021-05-07","0"
"28","27","28","28","28","2021-05-21","0"
