"84","87","809","872","date","other"
"2","2","1","2","2017-11-24","0"
"18","18","17","18","2017-12-08","0"
"20","20","20","20","2017-12-22","0"
"20","20","20","20","2018-01-05","0"
"12","11","11","11","2018-01-19","0"
"17","16","16","16","2018-02-02","0"
"17","16","16","16","2018-02-16","0"
"20","18","18","18","2018-03-02","0"
"15","14","14","14","2018-03-16","0"
"20","19","19","19","2018-03-30","0"
"15","14","14","14","2018-04-13","0"
"26","25","24","24","2018-04-27","0"
"26","25","24","24","2018-05-11","0"
"26","25","24","24","2018-05-25","0"
"26","25","24","24","2018-06-08","0"
"26","25","24","24","2018-06-22","0"
"27","25","24","24","2018-07-06","0"
"27","25","24","24","2018-07-20","0"
"27","25","24","24","2018-08-03","0"
"28","26","25","25","2018-08-17","0"
"29","27","25","26","2018-08-31","0"
"29","27","25","26","2018-09-14","0"
"29","27","26","26","2018-09-28","0"
"29","27","26","26","2018-10-12","0"
"29","27","26","26","2018-10-26","0"
"29","27","26","26","2018-11-09","0"
"29","27","26","26","2018-11-23","0"
"29","27","26","26","2018-12-07","0"
"29","27","26","26","2018-12-21","0"
"30","27","27","26","2019-01-04","0"
"30","27","27","26","2019-01-18","0"
"30","27","27","26","2019-02-01","0"
"30","27","27","26","2019-02-15","0"
"31","28","28","27","2019-03-01","0"
"16","14","14","14","2019-03-15","0"
"7","6","6","6","2019-03-29","0"
"31","28","28","27","2019-04-12","0"
"31","28","28","27","2019-04-26","0"
"11","10","10","10","2019-05-10","0"
"23","21","21","19","2019-05-24","0"
"32","29","29","27","2019-06-07","0"
"32","29","29","27","2019-06-21","0"
"32","29","29","27","2019-07-05","0"
"34","31","31","29","2019-07-19","0"
"37","33","33","31","2019-08-02","0"
"30","27","27","25","2019-08-16","0"
"37","33","33","31","2019-08-30","0"
"32","29","29","27","2019-09-13","0"
"34","31","31","29","2019-09-27","0"
"32","29","29","27","2019-10-11","0"
"34","31","31","29","2019-10-25","0"
"32","29","29","27","2019-11-08","0"
"30","27","27","25","2019-11-22","0"
"32","29","29","27","2019-12-06","0"
"34","31","31","29","2019-12-20","0"
"34","31","31","29","2020-01-03","0"
"34","31","31","29","2020-01-17","0"
"32","29","29","27","2020-01-31","0"
"39","36","35","33","2020-02-14","0"
"30","28","27","25","2020-02-28","0"
"32","30","29","27","2020-03-13","0"
"32","30","29","27","2020-03-27","0"
"32","30","29","27","2020-04-10","0"
"39","36","35","33","2020-04-24","0"
"34","32","31","29","2020-05-08","0"
"31","28","27","25","2020-05-22","0"
"33","30","29","27","2020-06-05","0"
"35","32","31","29","2020-06-19","0"
"33","30","29","27","2020-07-03","0"
"35","32","31","29","2020-07-17","0"
"38","34","33","31","2020-07-31","0"
"31","28","27","25","2020-08-14","0"
"38","34","33","31","2020-08-28","0"
"31","28","27","25","2020-09-11","0"
"31","28","27","25","2020-09-25","0"
"38","34","33","31","2020-10-09","0"
"33","30","29","27","2020-10-23","0"
"38","34","33","31","2020-11-06","0"
"38","34","33","31","2020-11-20","0"
"38","34","33","31","2020-12-04","0"
"28","26","25","23","2020-12-18","0"
"35","33","31","29","2021-01-01","0"
"40","38","35","33","2021-01-15","0"
"38","35","33","31","2021-01-29","0"
"21","20","19","17","2021-02-12","0"
"35","33","31","29","2021-02-26","0"
"33","31","29","27","2021-03-12","0"
"33","31","29","27","2021-03-26","0"
"35","33","31","29","2021-04-09","0"
"33","31","29","27","2021-04-23","0"
"33","31","29","27","2021-05-07","0"
"33","31","29","27","2021-05-21","0"
