"19","21","492","1628","3871","date","other"
"6","6","6","2","","2017-09-01","0"
"18","17","19","5","","2017-09-15","0"
"14","13","14","4","","2017-09-29","0"
"21","20","22","6","","2017-10-13","0"
"17","16","17","5","","2017-10-27","0"
"12","11","13","3","","2017-11-10","0"
"17","16","17","5","","2017-11-24","0"
"15","14","16","4","","2017-12-08","0"
"12","11","13","3","","2017-12-22","0"
"14","13","14","4","","2018-01-05","0"
"11","10","11","3","","2018-01-19","0"
"14","13","14","4","","2018-02-02","0"
"17","16","17","5","","2018-02-16","0"
"14","13","14","4","","2018-03-02","0"
"15","14","16","4","","2018-03-16","0"
"14","13","14","4","","2018-03-30","0"
"12","11","13","3","","2018-04-13","0"
"23","21","24","6","","2018-04-27","0"
"21","20","22","6","","2018-05-11","0"
"21","20","23","7","","2018-05-25","0"
"21","20","23","7","","2018-06-08","0"
"21","20","23","7","","2018-06-22","0"
"21","20","23","7","","2018-07-06","0"
"21","20","23","7","","2018-07-20","0"
"21","20","23","7","","2018-08-03","0"
"21","20","23","7","","2018-08-17","0"
"21","20","23","7","","2018-08-31","0"
"21","20","23","7","","2018-09-14","0"
"21","20","23","7","","2018-09-28","0"
"21","20","23","7","","2018-10-12","0"
"21","20","23","7","","2018-10-26","0"
"21","20","23","7","","2018-11-09","0"
"21","20","23","7","","2018-11-23","0"
"21","20","23","7","","2018-12-07","0"
"21","20","23","7","","2018-12-21","0"
"20","19","21","7","","2019-01-04","0"
"21","20","23","7","","2019-01-18","0"
"21","20","23","7","","2019-02-01","0"
"21","20","23","7","","2019-02-15","0"
"21","20","23","7","","2019-03-01","0"
"12","11","13","4","","2019-03-15","0"
"6","6","7","2","","2019-03-29","0"
"18","17","20","6","","2019-04-12","0"
"21","20","23","7","","2019-04-26","0"
"6","6","7","2","","2019-05-10","0"
"15","14","16","6","","2019-05-24","0"
"21","20","23","8","","2019-06-07","0"
"21","20","23","8","","2019-06-21","0"
"21","20","23","8","","2019-07-05","0"
"21","20","23","8","","2019-07-19","0"
"20","19","21","7","","2019-08-02","0"
"20","19","21","7","","2019-08-16","0"
"21","20","23","8","","2019-08-30","0"
"20","19","21","7","","2019-09-13","0"
"20","19","21","7","","2019-09-27","0"
"23","21","25","9","","2019-10-11","0"
"21","20","23","8","","2019-10-25","0"
"18","17","20","7","","2019-11-08","0"
"20","19","21","7","","2019-11-22","0"
"21","20","23","8","","2019-12-06","0"
"21","20","23","8","","2019-12-20","0"
"19","19","21","5","","2020-01-03","0"
"31","30","33","8","","2020-01-17","0"
"31","30","33","8","","2020-01-31","0"
"33","32","35","9","","2020-02-14","0"
"29","28","31","7","","2020-02-28","0"
"31","30","33","8","","2020-03-13","0"
"33","32","35","9","","2020-03-27","0"
"29","28","31","7","","2020-04-10","0"
"29","28","31","7","","2020-04-24","0"
"31","30","33","8","","2020-05-08","0"
"29","28","31","7","","2020-05-22","0"
"33","32","35","9","","2020-06-05","0"
"31","30","33","8","2","2020-06-19","0"
"33","32","35","10","5","2020-07-03","0"
"29","28","31","8","5","2020-07-17","0"
"33","32","35","10","6","2020-07-31","0"
"29","28","31","9","6","2020-08-14","0"
"33","32","35","11","6","2020-08-28","0"
"31","30","33","10","6","2020-09-11","0"
"33","32","35","11","6","2020-09-25","0"
"29","28","31","9","6","2020-10-09","0"
"40","39","42","13","8","2020-10-23","0"
"33","32","35","11","6","2020-11-06","0"
"38","36","40","12","7","2020-11-20","0"
"33","32","35","11","6","2020-12-04","0"
"35","34","38","11","7","2020-12-18","0"
"35","34","38","11","7","2021-01-01","0"
"17","39","42","13","8","2021-01-15","0"
"12","32","35","11","6","2021-01-29","0"
"8","21","24","7","4","2021-02-12","0"
"13","34","38","11","7","2021-02-26","0"
"11","30","33","10","6","2021-03-12","0"
"11","30","33","10","6","2021-03-26","0"
"11","30","33","10","6","2021-04-09","0"
"11","30","33","10","6","2021-04-23","0"
"11","30","33","10","6","2021-05-07","0"
"12","32","35","11","6","2021-05-21","0"
