"19","122","492","1625","date","other"
"7","6","18","7","2018-08-29","0"
"13","11","31","13","2018-09-12","0"
"13","10","31","14","2018-09-26","0"
"13","10","31","14","2018-10-10","0"
"13","10","31","14","2018-10-24","0"
"13","10","31","14","2018-11-07","0"
"13","10","31","14","2018-11-21","0"
"13","10","31","14","2018-12-05","0"
"13","10","31","14","2018-12-19","0"
"13","10","31","14","2019-01-02","0"
"13","10","31","14","2019-01-16","0"
"13","10","31","14","2019-01-30","0"
"13","10","31","14","2019-02-13","0"
"13","10","31","14","2019-02-27","0"
"7","5","16","7","2019-03-13","0"
"2","1","4","2","2019-03-27","0"
"12","9","29","13","2019-04-10","0"
"13","10","31","14","2019-04-24","0"
"7","5","16","7","2019-05-08","0"
"7","6","18","8","2019-05-22","0"
"13","10","31","14","2019-06-05","0"
"13","10","31","14","2019-06-19","0"
"13","10","31","14","2019-07-03","0"
"13","10","31","14","2019-07-17","0"
"13","10","31","14","2019-07-31","0"
"12","9","29","13","2019-08-14","0"
"13","10","31","14","2019-08-28","0"
"13","10","31","14","2019-09-11","0"
"14","11","33","15","2019-09-25","0"
"13","10","31","14","2019-10-09","0"
"12","9","29","13","2019-10-23","0"
"12","9","29","13","2019-11-06","0"
"14","11","33","15","2019-11-20","0"
"13","10","31","14","2019-12-04","0"
"14","11","33","15","2019-12-18","0"
"12","9","29","13","2020-01-01","0"
"13","10","31","14","2020-01-15","0"
"13","10","31","14","2020-01-29","0"
"14","11","33","15","2020-02-12","0"
"12","9","29","13","2020-02-26","0"
"13","10","31","14","2020-03-11","0"
"11","9","27","12","2020-03-25","0"
"13","10","31","14","2020-04-08","0"
"13","10","31","14","2020-04-22","0"
"13","10","31","14","2020-05-06","0"
"12","9","29","13","2020-05-20","0"
"14","11","33","15","2020-06-03","0"
"13","10","31","14","2020-06-17","0"
"13","10","31","14","2020-07-01","0"
"11","9","27","12","2020-07-15","0"
"13","10","31","14","2020-07-29","0"
"12","9","29","13","2020-08-12","0"
"12","9","29","13","2020-08-26","0"
"13","10","31","14","2020-09-09","0"
"12","9","29","13","2020-09-23","0"
"13","10","31","14","2020-10-07","0"
"13","10","31","14","2020-10-21","0"
"14","11","33","15","2020-11-04","0"
"19","14","44","20","2020-11-18","0"
"14","11","33","15","2020-12-02","0"
"13","10","31","14","2020-12-16","0"
"14","11","33","15","2020-12-30","0"
"13","10","31","14","2021-01-13","0"
"16","12","38","17","2021-01-27","0"
"7","6","18","8","2021-02-10","0"
"13","10","31","14","2021-02-24","0"
"13","10","31","14","2021-03-10","0"
"13","10","31","14","2021-03-24","0"
"13","10","31","14","2021-04-07","0"
"13","10","31","14","2021-04-21","0"
"13","10","31","14","2021-05-05","0"
"13","10","31","14","2021-05-19","0"
