"19","21","1681","1743","4085","4182","date","other"
"7","7","","","3","","2017-08-18","0"
"13","13","","","5","","2017-09-01","0"
"21","21","","","8","","2017-09-15","0"
"16","16","","","6","","2017-09-29","0"
"20","20","","","8","","2017-10-13","0"
"15","15","","","6","","2017-10-27","0"
"19","18","","","8","","2017-11-10","0"
"19","18","","","8","","2017-11-24","0"
"22","21","","","9","0","2017-12-08","0"
"21","21","","","9","4","2017-12-22","0"
"18","17","","","8","4","2018-01-05","0"
"18","17","","","8","4","2018-01-19","0"
"16","15","","","7","3","2018-02-02","0"
"19","19","","","9","4","2018-02-16","0"
"14","14","","","6","3","2018-03-02","0"
"15","15","","","7","4","2018-03-16","0"
"17","17","","","8","4","2018-03-30","0"
"17","17","","","8","4","2018-04-13","0"
"24","24","","","11","6","2018-04-27","0"
"24","24","","","11","6","2018-05-11","0"
"24","24","","","11","6","2018-05-25","0"
"24","24","","","11","6","2018-06-08","0"
"24","25","","","10","6","2018-06-22","0"
"24","25","","","10","6","2018-07-06","0"
"24","25","","","10","6","2018-07-20","0"
"24","25","","","10","6","2018-08-03","0"
"24","25","","","10","6","2018-08-17","0"
"24","25","","1","11","6","2018-08-31","0"
"25","26","","5","12","7","2018-09-14","0"
"25","26","","5","12","7","2018-09-28","0"
"25","26","","5","12","7","2018-10-12","0"
"25","26","","6","12","8","2018-10-26","0"
"25","26","","6","12","8","2018-11-09","0"
"25","26","3","6","12","8","2018-11-23","0"
"25","26","5","6","12","8","2018-12-07","0"
"25","26","5","6","12","8","2018-12-21","0"
"25","26","5","6","13","9","2019-01-04","0"
"23","24","5","6","12","8","2019-01-18","0"
"25","26","5","6","13","9","2019-02-01","0"
"25","26","5","6","13","9","2019-02-15","0"
"25","26","5","5","13","9","2019-03-01","0"
"13","13","3","3","7","5","2019-03-15","0"
"7","7","1","1","4","3","2019-03-29","0"
"23","24","5","5","12","8","2019-04-12","0"
"25","26","5","5","13","9","2019-04-26","0"
"9","9","2","2","5","3","2019-05-10","0"
"20","22","6","6","13","8","2019-05-24","0"
"26","28","7","7","17","10","2019-06-07","0"
"24","26","7","7","16","9","2019-06-21","0"
"26","28","7","7","17","10","2019-07-05","0"
"26","28","7","7","17","10","2019-07-19","0"
"28","30","8","8","18","11","2019-08-02","0"
"22","24","6","6","15","9","2019-08-16","0"
"30","32","8","8","19","11","2019-08-30","0"
"24","26","7","7","16","9","2019-09-13","0"
"30","32","8","8","19","11","2019-09-27","0"
"28","30","8","8","18","11","2019-10-11","0"
"26","28","7","7","17","10","2019-10-25","0"
"24","26","7","7","16","9","2019-11-08","0"
"28","30","8","8","18","11","2019-11-22","0"
"28","30","8","8","18","11","2019-12-06","0"
"30","32","8","8","19","11","2019-12-20","0"
"24","26","7","7","16","9","2020-01-03","0"
"26","28","7","7","17","10","2020-01-17","0"
"28","30","8","8","18","11","2020-01-31","0"
"28","30","8","8","18","11","2020-02-14","0"
"26","28","7","7","17","10","2020-02-28","0"
"26","28","7","7","17","10","2020-03-13","0"
"24","26","7","7","16","9","2020-03-27","0"
"28","30","8","8","18","11","2020-04-10","0"
"24","26","7","7","16","9","2020-04-24","0"
"26","28","7","7","17","10","2020-05-08","0"
"24","26","7","7","16","9","2020-05-22","0"
"28","30","8","8","19","11","2020-06-05","0"
"26","28","7","7","18","10","2020-06-19","0"
"32","34","9","9","22","12","2020-07-03","0"
"22","24","6","6","15","9","2020-07-17","0"
"26","28","7","7","18","10","2020-07-31","0"
"22","24","6","6","15","9","2020-08-14","0"
"27","29","7","7","19","11","2020-08-28","0"
"27","29","7","7","19","11","2020-09-11","0"
"27","29","7","7","19","11","2020-09-25","0"
"27","29","7","7","19","11","2020-10-09","0"
"23","25","6","6","16","9","2020-10-23","0"
"31","33","8","9","22","13","2020-11-06","0"
"29","31","8","9","21","12","2020-11-20","0"
"31","33","8","9","23","13","2020-12-04","0"
"29","31","8","9","21","12","2020-12-18","0"
"27","29","7","8","20","11","2021-01-01","0"
"12","37","9","10","26","14","2021-01-15","0"
"8","33","8","9","23","13","2021-01-29","0"
"5","19","5","5","13","7","2021-02-12","0"
"8","31","8","9","21","12","2021-02-26","0"
"7","29","7","8","20","11","2021-03-12","0"
"7","29","7","8","20","11","2021-03-26","0"
"20","29","7","8","20","11","2021-04-09","0"
"27","29","7","8","20","11","2021-04-23","0"
"27","29","7","8","20","11","2021-05-07","0"
"27","29","7","8","20","11","2021-05-21","0"
