"122","1667","1720","1774","3814","3871","3978","4106","4747","4791","4975","5851","6730","7208","1100686","date","other"
"7","3","","","","3","4","","","3","","","","2","","2017-01-06","56"
"33","14","","","","13","18","","","16","","","","10","","2017-01-20","273"
"34","16","","","","14","19","","","18","","","","11","","2017-02-03","290"
"34","16","","","","14","19","","","18","","","","11","","2017-02-17","294"
"34","16","","","","14","19","","","18","","","","11","","2017-03-03","294"
"32","15","","","","13","17","","","17","","","","10","","2017-03-17","275"
"35","17","","","","14","18","","","18","","","","11","","2017-03-31","301"
"35","17","","","","14","19","","","18","","","","11","","2017-04-14","302"
"35","17","","","","14","19","","","18","","","","11","","2017-04-28","302"
"35","17","","","","15","19","","","19","","","","11","","2017-05-12","304"
"36","17","","","","15","19","","","20","","","","11","","2017-05-26","310"
"33","16","","","","14","18","","","19","","","","10","","2017-06-09","289"
"36","17","","","","15","19","","","20","","","","11","","2017-06-23","313"
"36","17","","","","15","19","","","20","","","","11","","2017-07-07","313"
"33","16","","","","15","18","","","19","","","","10","","2017-07-21","291"
"28","13","","","","13","15","","","17","","","","9","","2017-08-04","248"
"31","15","","","","14","16","","","18","","","","9","","2017-08-18","270"
"18","9","","","","8","10","","","11","","","","6","","2017-09-01","158"
"23","11","","","","10","12","","","14","","","","7","","2017-09-15","203"
"23","11","","","","10","12","","","14","","","","7","","2017-09-29","203"
"31","15","","","","14","16","","","18","","","","9","","2017-10-13","270"
"23","11","","","","10","12","","","14","","","","7","","2017-10-27","203"
"26","12","","","","11","14","","","16","","","","8","","2017-11-10","225"
"33","16","","","","15","18","","","20","","","","10","","2017-11-24","293"
"21","10","","","","9","11","","","13","","","","6","","2017-12-08","180"
"26","12","","","","11","14","","","16","","","","8","","2017-12-22","225"
"28","14","","","","13","15","","","17","","","","9","","2018-01-05","247"
"28","14","","","","13","15","","","17","","","","9","","2018-01-19","248"
"28","14","","","","13","15","","","17","","","","9","","2018-02-02","248"
"23","12","","","","10","12","","","14","","","","7","","2018-02-16","203"
"31","15","","","","14","16","","","19","","","","9","","2018-03-02","270"
"13","6","","","","6","7","","","8","","","","4","","2018-03-16","113"
"26","13","","","","11","14","","","16","","","","8","","2018-03-30","225"
"23","12","","","","10","12","","","15","","","","7","","2018-04-13","203"
"41","21","","","","18","22","","","26","","","","13","","2018-04-27","360"
"39","19","","","","17","20","","","26","","","","12","","2018-05-11","342"
"40","19","","","","17","20","","","26","","","","12","","2018-05-25","345"
"34","17","","","","15","18","","","22","","","","10","","2018-06-08","299"
"37","18","","","","16","19","","","24","","","","11","","2018-06-22","322"
"37","18","","","","16","19","","","24","","","","11","","2018-07-06","322"
"37","18","","","","16","19","","","25","","","","11","","2018-07-20","322"
"37","18","","","","16","19","","","25","","","","11","","2018-08-03","322"
"37","18","","","","16","19","","","25","","","","11","","2018-08-17","322"
"37","18","","","","16","19","","","25","","","","11","","2018-08-31","322"
"40","19","","","","17","20","","","27","","","","12","","2018-09-14","345"
"37","18","","","","16","19","","","25","","","","11","","2018-09-28","322"
"37","18","","","","16","19","","","25","","","","11","","2018-10-12","322"
"37","18","","","","16","19","","","25","","","","11","","2018-10-26","322"
"37","18","","","","16","19","","","25","","","","11","","2018-11-09","322"
"37","18","","","","16","19","","","25","","","","11","","2018-11-23","322"
"37","18","","","","16","19","","","25","","","","11","","2018-12-07","322"
"40","20","","","","17","20","","","28","","","","12","","2018-12-21","346"
"37","19","","","","16","19","","","26","","","","11","","2019-01-04","324"
"37","19","","","","16","19","","","27","","","","11","","2019-01-18","325"
"37","19","","","","16","19","","","27","","","","11","","2019-02-01","325"
"37","19","","","","16","19","","","27","","","","11","","2019-02-15","325"
"40","20","","","","17","20","","","29","","","","12","","2019-03-01","349"
"19","10","","","","8","10","","","14","","","","6","","2019-03-15","163"
"8","4","","","","3","4","","","6","","","","2","","2019-03-29","70"
"34","18","","","","15","18","","","25","","","","10","","2019-04-12","302"
"37","19","","","","17","19","","","29","","","","11","","2019-04-26","326"
"11","5","","","","5","5","","","8","","","","3","","2019-05-10","93"
"26","14","","","","12","14","","","21","","","","9","","2019-05-24","236"
"40","20","","","","18","20","","","31","","","","13","","2019-06-07","355"
"37","19","","","","17","19","","","29","","","","12","","2019-06-21","331"
"37","19","","","","17","19","","","29","","","","12","","2019-07-05","331"
"45","23","","","","21","23","","","35","","","","15","","2019-07-19","402"
"42","22","","","","19","22","","","33","","","","14","","2019-08-02","378"
"32","16","","","","15","16","","","25","","","","10","","2019-08-16","284"
"37","19","","","","17","19","","","29","","","","12","","2019-08-30","331"
"32","16","","","","15","16","","","25","","","","10","","2019-09-13","284"
"40","20","","","","18","20","","","31","","","","13","","2019-09-27","355"
"40","20","","","","18","20","","","31","","","","13","","2019-10-11","355"
"37","19","","","","17","19","","","29","","","","12","","2019-10-25","331"
"34","18","","","","16","18","","","27","","","","11","","2019-11-08","307"
"37","19","","","","17","19","","","29","","","","12","","2019-11-22","331"
"42","22","","","","19","22","","","33","","","","14","","2019-12-06","378"
"48","24","","","","22","24","","","37","","","","15","","2019-12-20","426"
"34","18","","","","16","18","","","27","","","","11","","2020-01-03","307"
"42","18","","","","16","18","","","27","","","","11","","2020-01-17","300"
"44","18","","","","16","18","","","27","","","","11","","2020-01-31","298"
"54","22","","","","19","22","","","33","","","","14","","2020-02-14","367"
"47","19","","","","17","19","","","29","","","","12","","2020-02-28","321"
"50","20","","","","18","21","","","32","","","","13","","2020-03-13","345"
"54","22","","","","19","23","","","34","","","","14","","2020-03-27","368"
"50","20","","","","18","21","","","32","","","","13","","2020-04-10","345"
"54","22","","","","19","23","","","34","","","","14","","2020-04-24","368"
"50","20","","","","18","21","","","32","","","","13","","2020-05-08","345"
"47","19","","","","17","20","","","30","","","","12","","2020-05-22","322"
"147","112","117","113","118","122","136","112","112","131","106","104","115","121","116","2020-06-05","729"
"385","338","410","396","414","379","420","393","391","375","372","363","402","389","407","2020-06-19","1667"
"385","338","410","396","413","379","420","393","391","375","372","363","402","389","407","2020-07-03","1667"
"358","314","381","368","384","352","390","365","363","348","345","337","374","361","378","2020-07-17","1548"
"715","628","761","735","767","704","780","730","726","696","691","674","748","722","756","2020-07-31","3096"
"330","290","351","339","354","325","360","337","335","321","319","311","345","333","349","2020-08-14","1429"
"385","338","410","396","413","379","420","393","391","375","372","363","403","389","407","2020-08-28","1667"
"385","338","410","396","413","379","420","393","391","375","372","363","403","389","407","2020-09-11","1667"
"413","362","439","424","443","406","450","421","419","402","399","389","432","417","436","2020-09-25","1786"
"413","362","439","424","443","406","450","421","419","402","399","389","432","417","436","2020-10-09","1786"
"495","435","527","509","531","487","540","505","503","482","478","467","518","500","523","2020-10-23","2143"
"495","435","527","509","531","487","540","505","503","482","478","467","518","500","523","2020-11-06","2143"
"550","483","586","566","590","541","600","561","559","536","531","519","576","556","581","2020-11-20","2381"
"440","386","469","453","472","433","480","449","447","429","425","415","461","445","465","2020-12-04","1905"
"550","483","586","566","590","541","600","561","559","536","531","519","576","556","581","2020-12-18","2381"
"440","386","469","453","472","433","480","449","447","429","425","415","461","445","465","2021-01-01","1905"
"523","459","556","537","561","514","570","533","531","509","505","493","547","528","552","2021-01-15","2262"
"385","338","410","396","413","379","420","393","391","375","372","363","403","389","407","2021-01-29","1667"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-02-12","1667"
"358","314","381","368","383","352","390","365","363","348","345","337","374","361","378","2021-02-26","1548"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-03-12","1667"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-03-26","1667"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-04-09","1667"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-04-23","1667"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-05-07","1667"
"385","338","410","396","412","379","420","393","391","375","372","363","403","389","407","2021-05-21","1667"
