"113","597","599","1666","4182","date","other"
"13","10","10","","","2017-09-15","0"
"21","17","17","","","2017-09-29","0"
"20","15","16","","","2017-10-13","0"
"18","14","14","","","2017-10-27","0"
"18","14","14","","","2017-11-10","0"
"18","14","14","","","2017-11-24","0"
"18","14","14","","","2017-12-08","0"
"21","16","16","","","2017-12-22","0"
"17","13","13","1","","2018-01-05","0"
"26","20","20","4","","2018-01-19","0"
"19","14","15","3","","2018-02-02","0"
"19","14","15","3","","2018-02-16","0"
"27","20","20","4","","2018-03-02","0"
"15","11","11","2","","2018-03-16","0"
"24","18","19","4","","2018-03-30","0"
"17","13","13","3","","2018-04-13","0"
"34","25","26","6","","2018-04-27","0"
"34","25","26","6","","2018-05-11","0"
"34","25","26","6","","2018-05-25","0"
"34","25","26","6","","2018-06-08","0"
"34","25","26","6","","2018-06-22","0"
"34","25","26","6","","2018-07-06","0"
"34","25","26","6","","2018-07-20","0"
"34","25","26","6","","2018-08-03","0"
"34","25","26","6","","2018-08-17","0"
"34","25","26","6","1","2018-08-31","0"
"34","25","26","6","5","2018-09-14","0"
"34","25","26","6","5","2018-09-28","0"
"34","25","26","6","6","2018-10-12","0"
"34","25","26","6","7","2018-10-26","0"
"35","26","27","7","8","2018-11-09","0"
"35","26","27","7","8","2018-11-23","0"
"35","26","27","7","8","2018-12-07","0"
"35","26","27","7","8","2018-12-21","0"
"35","26","27","7","8","2019-01-04","0"
"35","26","27","7","8","2019-01-18","0"
"35","26","27","7","8","2019-02-01","0"
"35","26","27","7","8","2019-02-15","0"
"35","26","27","7","8","2019-03-01","0"
"18","13","14","4","4","2019-03-15","0"
"8","6","6","2","2","2019-03-29","0"
"33","24","25","7","7","2019-04-12","0"
"36","26","27","8","8","2019-04-26","0"
"13","9","10","3","3","2019-05-10","0"
"26","19","19","6","6","2019-05-24","0"
"36","27","27","8","8","2019-06-07","0"
"33","25","25","7","7","2019-06-21","0"
"36","27","27","8","8","2019-07-05","0"
"36","27","27","8","8","2019-07-19","0"
"41","31","31","9","9","2019-08-02","0"
"33","25","25","8","7","2019-08-16","0"
"36","27","27","9","8","2019-08-30","0"
"33","25","25","8","7","2019-09-13","0"
"36","27","27","10","8","2019-09-27","0"
"36","27","27","10","8","2019-10-11","0"
"36","27","27","10","8","2019-10-25","0"
"36","27","27","10","8","2019-11-08","0"
"36","27","27","10","8","2019-11-22","0"
"44","33","33","12","10","2019-12-06","0"
"39","29","29","11","9","2019-12-20","0"
"36","27","27","10","8","2020-01-03","0"
"41","31","31","11","9","2020-01-17","0"
"36","27","27","10","8","2020-01-31","0"
"33","25","25","9","7","2020-02-14","0"
"39","29","29","11","9","2020-02-28","0"
"36","27","27","10","8","2020-03-13","0"
"36","27","27","10","10","2020-03-27","0"
"33","25","25","9","9","2020-04-10","0"
"36","27","27","10","11","2020-04-24","0"
"42","31","31","11","14","2020-05-08","0"
"37","27","27","10","12","2020-05-22","0"
"37","27","27","10","12","2020-06-05","0"
"40","29","29","11","14","2020-06-19","0"
"45","33","33","12","16","2020-07-03","0"
"32","23","23","9","11","2020-07-17","0"
"40","29","29","11","14","2020-07-31","0"
"34","25","25","9","12","2020-08-14","0"
"42","31","31","11","15","2020-08-28","0"
"37","27","27","10","13","2020-09-11","0"
"42","31","31","11","15","2020-09-25","0"
"34","25","25","9","12","2020-10-09","0"
"37","27","27","10","13","2020-10-23","0"
"42","31","31","11","15","2020-11-06","0"
"45","33","33","12","16","2020-11-20","0"
"45","33","33","12","16","2020-12-04","0"
"42","31","31","11","15","2020-12-18","0"
"37","27","27","10","13","2021-01-01","0"
"40","29","29","11","14","2021-01-15","0"
"40","29","29","11","14","2021-01-29","0"
"26","19","19","7","9","2021-02-12","0"
"45","33","33","12","16","2021-02-26","0"
"37","27","27","10","13","2021-03-12","0"
"37","27","27","10","13","2021-03-26","0"
"37","27","27","10","13","2021-04-09","0"
"37","27","27","10","13","2021-04-23","0"
"40","29","29","11","14","2021-05-07","0"
"40","29","29","11","14","2021-05-21","0"
