"19","493","597","599","21978","999999","date","other"
"21","24","21","20","5","1","2017-02-16","0"
"20","22","20","19","5","1","2017-03-02","0"
"18","21","18","17","4","1","2017-03-16","0"
"21","24","21","20","5","1","2017-03-30","0"
"21","24","21","20","5","1","2017-04-13","0"
"21","24","21","20","5","1","2017-04-27","0"
"21","24","21","20","6","1","2017-05-11","0"
"21","24","21","20","6","1","2017-05-25","0"
"21","24","21","20","6","1","2017-06-08","0"
"21","24","21","20","6","1","2017-06-22","0"
"21","24","21","20","6","1","2017-07-06","0"
"20","22","20","19","6","1","2017-07-20","0"
"18","21","18","17","5","1","2017-08-03","0"
"20","22","20","19","6","1","2017-08-17","0"
"9","10","9","9","3","1","2017-08-31","0"
"15","17","15","14","4","1","2017-09-14","0"
"12","14","12","11","3","1","2017-09-28","0"
"15","17","15","14","4","1","2017-10-12","0"
"11","12","11","10","3","1","2017-10-26","0"
"12","14","12","11","3","1","2017-11-09","0"
"12","14","12","11","3","1","2017-11-23","0"
"12","14","12","11","3","0","2017-12-07","0"
"15","17","15","14","4","","2017-12-21","0"
"11","12","11","10","3","","2018-01-04","0"
"14","15","14","13","4","","2018-01-18","0"
"14","15","14","13","4","","2018-02-01","0"
"12","14","12","11","4","","2018-02-15","0"
"17","19","17","16","6","","2018-03-01","0"
"14","15","14","13","5","","2018-03-15","0"
"12","14","12","11","4","","2018-03-29","0"
"14","15","14","13","5","","2018-04-12","0"
"21","24","21","20","8","","2018-04-26","0"
"21","24","21","20","8","","2018-05-10","0"
"21","24","21","20","9","","2018-05-24","0"
"20","22","20","19","8","","2018-06-07","0"
"21","24","21","20","9","","2018-06-21","0"
"21","24","21","20","9","","2018-07-05","0"
"21","44","21","20","9","","2018-07-19","0"
"21","45","21","20","9","","2018-08-02","0"
"21","45","21","20","9","","2018-08-16","0"
"21","45","21","20","9","","2018-08-30","0"
"21","45","21","20","9","","2018-09-13","0"
"21","45","21","20","9","","2018-09-27","0"
"21","45","21","20","9","","2018-10-11","0"
"21","45","21","20","9","","2018-10-25","0"
"21","45","21","20","9","","2018-11-08","0"
"21","45","21","20","9","","2018-11-22","0"
"21","45","21","20","9","","2018-12-06","0"
"21","45","21","20","9","","2018-12-20","0"
"21","45","21","20","9","","2019-01-03","0"
"21","45","21","20","9","","2019-01-17","0"
"21","45","21","20","9","","2019-01-31","0"
"21","45","21","20","9","","2019-02-14","0"
"21","45","21","20","9","","2019-02-28","0"
"11","23","11","10","5","","2019-03-14","0"
"5","10","5","4","2","","2019-03-28","0"
"20","42","20","19","8","","2019-04-11","0"
"21","45","21","20","10","","2019-04-25","0"
"8","16","8","7","4","","2019-05-09","0"
"14","29","14","13","8","","2019-05-23","0"
"21","45","21","20","12","","2019-06-06","0"
"24","51","24","23","14","","2019-06-20","0"
"21","45","21","20","12","","2019-07-04","0"
"21","45","21","20","12","","2019-07-18","0"
"24","51","24","23","14","","2019-08-01","0"
"18","39","18","17","10","","2019-08-15","0"
"21","45","21","20","12","","2019-08-29","0"
"18","39","18","17","10","","2019-09-12","0"
"21","45","21","20","12","","2019-09-26","0"
"21","45","21","20","12","","2019-10-10","0"
"21","45","21","20","12","","2019-10-24","0"
"17","36","17","16","9","","2019-11-07","0"
"21","45","21","20","12","","2019-11-21","0"
"23","48","23","21","13","","2019-12-05","0"
"21","45","21","20","13","","2019-12-19","0"
"18","39","18","17","11","","2020-01-02","0"
"20","42","20","19","12","","2020-01-16","0"
"21","30","21","20","13","","2020-01-30","0"
"18","18","18","17","11","","2020-02-13","0"
"23","23","23","21","14","","2020-02-27","0"
"20","20","20","19","12","","2020-03-12","0"
"21","21","21","20","13","","2020-03-26","0"
"21","21","21","20","13","","2020-04-09","0"
"20","20","20","19","12","","2020-04-23","0"
"21","21","21","20","13","","2020-05-07","0"
"20","20","20","19","12","","2020-05-21","0"
"21","21","21","20","13","","2020-06-04","0"
"20","20","20","19","12","","2020-06-18","0"
"21","21","21","20","13","","2020-07-02","0"
"18","18","18","17","11","","2020-07-16","0"
"23","23","23","21","14","","2020-07-30","0"
"18","18","18","17","11","","2020-08-13","0"
"21","21","21","20","13","","2020-08-27","0"
"26","26","26","24","16","","2020-09-10","0"
"24","24","24","23","15","","2020-09-24","0"
"21","21","21","20","13","","2020-10-08","0"
"26","26","26","24","16","","2020-10-22","0"
"26","26","26","24","16","","2020-11-05","0"
"26","26","26","24","16","","2020-11-19","0"
"23","23","23","21","14","","2020-12-03","0"
"26","26","26","24","16","","2020-12-17","0"
"27","27","27","26","17","","2020-12-31","0"
"26","26","26","24","16","","2021-01-14","0"
"23","23","23","21","14","","2021-01-28","0"
"12","12","12","11","7","","2021-02-11","0"
"20","20","20","19","12","","2021-02-25","0"
"21","21","21","20","13","","2021-03-11","0"
"21","21","21","20","13","","2021-03-25","0"
"24","24","24","23","15","","2021-04-08","0"
"21","21","21","20","13","","2021-04-22","0"
"21","21","21","20","13","","2021-05-06","0"
"21","21","21","20","13","","2021-05-20","0"
