"21","1662","1664","1742","3834","3839","3859","3934","3942","4182","5160","5537","5900","7332","21978","date","other"
"13","","","","","","","","","","","","","","3","2017-02-03","1"
"24","","","","","","","","","","1","","","","7","2017-02-17","1"
"34","","","","","","","","","","12","","","","17","2017-03-03","1"
"32","","","","","","","","","","11","","","","16","2017-03-17","1"
"34","","","","","","","","","","12","","","","17","2017-03-31","1"
"34","","","","","","","","","","12","","","","17","2017-04-14","1"
"34","","","","","","","","","","12","","","","17","2017-04-28","1"
"34","","","","","","","","","","12","","","","17","2017-05-12","1"
"34","","","","","","","","","","12","","","","17","2017-05-26","1"
"34","","","","","","","","","","12","","","","17","2017-06-09","1"
"34","","","","","","","","","","12","","","","17","2017-06-23","1"
"34","","","","","","","","","","12","","","","17","2017-07-07","1"
"32","","","","","","","","","","11","","","","17","2017-07-21","1"
"30","","","","","","","","","","10","","","","15","2017-08-04","1"
"30","","","","","","","","","","10","","","","15","2017-08-18","1"
"20","","","","","","","","","","7","","","","10","2017-09-01","1"
"33","","","","","","","","","","11","","","","17","2017-09-15","1"
"23","","","","","","","","","","8","","","","12","2017-09-29","1"
"31","","","","","","","","","","11","","","","16","2017-10-13","1"
"26","","","","","","","","","","9","","","","14","2017-10-27","1"
"31","","","","","","","","","","11","","","","16","2017-11-10","1"
"26","","","","","","","","","","9","","","","14","2017-11-24","1"
"28","","","","","","","","","","10","","","","15","2017-12-08","0"
"26","","","","","","","","","","9","","","","14","2017-12-22","0"
"28","","","","","","","","","","10","","","","15","2018-01-05","0"
"33","","","","","","","","","","12","","","","19","2018-01-19","0"
"28","","","","","","","","","","10","","","","16","2018-02-02","0"
"31","","","","","","","","","","11","","","","17","2018-02-16","0"
"36","","","","","","","","","","13","","","","20","2018-03-02","0"
"36","","","","","","","","","","13","","","","20","2018-03-16","0"
"26","","","","","","","","","","9","","","","14","2018-03-30","0"
"28","","","","","","","","","","10","","","","16","2018-04-13","0"
"36","","","","","","","","","","13","","","","20","2018-04-27","0"
"37","","","","","","","","","","13","","","","20","2018-05-11","0"
"37","","","","","","","","","","13","","","","20","2018-05-25","0"
"34","","","","","","","","","","13","","","","19","2018-06-08","0"
"37","","","","","","","","","","15","","","","21","2018-06-22","0"
"37","","","","","","","","","","15","","","","21","2018-07-06","0"
"37","","","","","","","","","","15","","","","21","2018-07-20","0"
"37","","","","","","","","","","15","","","","21","2018-08-03","0"
"38","","","","","","","","","","16","","","","22","2018-08-17","0"
"38","","","","","","","","","","16","","","","22","2018-08-31","0"
"38","","","","","","","","","","16","","","","22","2018-09-14","0"
"38","","","","","","","","","","16","","","","22","2018-09-28","0"
"38","","","","","","","","","","16","","","","22","2018-10-12","0"
"38","","","","","","","","","","16","","","","22","2018-10-26","0"
"38","","","","","","","","","","16","","","","22","2018-11-09","0"
"38","","","","","","","","","","16","","","","22","2018-11-23","0"
"38","","","","","","","","","","16","","","","22","2018-12-07","0"
"38","","","","","","","","","","16","","","","22","2018-12-21","0"
"38","","","","","","","","","","16","","","","23","2019-01-04","0"
"38","","","","","","","","","","16","","","","23","2019-01-18","0"
"38","","","","","","","","","","16","","","","23","2019-02-01","0"
"38","","","","","","","","","","16","","","","23","2019-02-15","0"
"38","","","","","","","","","","16","","","","23","2019-03-01","0"
"22","","","","","","","","","","9","","","","13","2019-03-15","0"
"11","","","","","","","","","","5","","","","7","2019-03-29","0"
"35","","","","","","","","","","15","","","","21","2019-04-12","0"
"38","","","","","","","","","","16","","","","24","2019-04-26","0"
"11","","","","","","","","","","5","","","","7","2019-05-10","0"
"31","","","","","","","","","","14","","","","22","2019-05-24","0"
"43","","","","","","","","","","19","","","","30","2019-06-07","0"
"40","","","","","","","","","","18","","","","28","2019-06-21","0"
"40","","","","","","","","","","18","","","","28","2019-07-05","0"
"40","","","","","","","","","","18","","","","28","2019-07-19","0"
"40","","","","","","","","","","18","","","","28","2019-08-02","0"
"37","","","","","","","","","","17","","","","26","2019-08-16","0"
"40","","","","","","","","","","18","","","","28","2019-08-30","0"
"34","","","","","","","","","","15","","","","25","2019-09-13","0"
"40","","","","","","","","","","18","","","","29","2019-09-27","0"
"43","","","","","","","","","","19","","","","31","2019-10-11","0"
"40","","","","","","","","","","18","","","","29","2019-10-25","0"
"31","","","","","","","","","","14","","","","23","2019-11-08","0"
"43","","","","","","","","","","19","","","","32","2019-11-22","0"
"40","","","","","","","","","","18","","","","30","2019-12-06","0"
"54","","","","","","","","","","24","","","","41","2019-12-20","0"
"37","","","","","","","","","","17","","","","28","2020-01-03","0"
"37","","","","","","","","","","17","","","","28","2020-01-17","0"
"40","","","","","","","","","","18","","","","30","2020-01-31","0"
"40","","","","","","","","","","18","","","","30","2020-02-14","0"
"43","","","","","","","","","","19","","","","32","2020-02-28","0"
"37","","","","","","","","","","17","","","","28","2020-03-13","0"
"43","","","","","","","","","","19","","","","32","2020-03-27","0"
"40","","","","","","","","","","18","","","","30","2020-04-10","0"
"38","","","","","","","","","","17","","","","28","2020-04-24","0"
"41","","","","","","","","","","18","","","","30","2020-05-08","0"
"44","","","","","","","","","","19","","","","32","2020-05-22","0"
"47","","","","","","","","","","21","","","","34","2020-06-05","0"
"41","","","","","","","","","","18","","","","30","2020-06-19","0"
"44","","","","","","","","","","19","","","","32","2020-07-03","0"
"35","","","","","","","","","","15","","","","26","2020-07-17","0"
"38","","","","","","","","","","17","","","","28","2020-07-31","0"
"44","","","","","","","","","","19","","","","32","2020-08-14","0"
"41","","","","","","","","","","18","","","","30","2020-08-28","0"
"70","","","","","","","","","","31","","","","51","2020-09-11","0"
"41","","","","","","","","","","18","","","","30","2020-09-25","0"
"47","","","","","","","","","","21","","","","34","2020-10-09","0"
"44","","","","","","","","","","19","","","","32","2020-10-23","0"
"44","","","","","","","","","","19","","","","32","2020-11-06","0"
"41","","","","","","","","","","18","","","","30","2020-11-20","0"
"78","24","52","43","46","39","27","29","65","40","74","32","36","23","82","2020-12-04","93"
"88","34","73","60","65","54","38","40","91","56","94","45","50","32","100","2020-12-18","130"
"101","39","83","69","74","62","43","46","104","64","107","51","57","37","114","2021-01-01","148"
"101","39","83","69","74","62","43","46","104","64","107","51","57","37","114","2021-01-15","147"
