"19","492","1755","3942","4255","date","other"
"13","5","5","5","5","2020-06-17","0"
"38","13","13","13","15","2020-07-01","0"
"31","11","11","11","12","2020-07-15","0"
"33","12","12","12","13","2020-07-29","0"
"31","11","11","11","12","2020-08-12","0"
"29","10","10","10","11","2020-08-26","0"
"29","10","10","10","11","2020-09-09","0"
"42","15","15","15","16","2020-09-23","0"
"42","15","15","15","16","2020-10-07","0"
"33","12","12","12","13","2020-10-21","0"
"31","11","11","11","12","2020-11-04","0"
"33","12","12","12","13","2020-11-18","0"
"35","13","13","13","14","2020-12-02","0"
"33","12","12","12","13","2020-12-16","0"
"31","11","11","11","12","2020-12-30","0"
"35","13","13","13","14","2021-01-13","0"
"35","13","13","13","14","2021-01-27","0"
"18","6","6","6","7","2021-02-10","0"
"38","13","13","13","15","2021-02-24","0"
"31","11","11","11","12","2021-03-10","0"
"31","11","11","11","12","2021-03-24","0"
"33","12","12","12","13","2021-04-07","0"
"31","11","11","11","12","2021-04-21","0"
"31","11","11","11","12","2021-05-05","0"
