"21","122","492","4486","31275","date","other"
"9","9","9","","2","2018-11-08","0"
"21","20","21","","6","2018-11-22","0"
"21","20","21","","6","2018-12-06","0"
"21","20","21","","6","2018-12-20","0"
"21","20","21","","6","2019-01-03","0"
"21","20","21","","6","2019-01-17","0"
"21","20","21","","6","2019-01-31","0"
"21","20","21","","6","2019-02-14","0"
"21","20","21","","6","2019-02-28","0"
"12","11","12","","3","2019-03-14","0"
"6","6","6","","2","2019-03-28","0"
"21","20","21","","6","2019-04-11","0"
"21","20","21","","6","2019-04-25","0"
"8","7","8","","2","2019-05-09","0"
"12","11","12","","3","2019-05-23","0"
"20","19","20","","6","2019-06-06","0"
"21","20","21","","6","2019-06-20","0"
"20","19","20","","6","2019-07-04","0"
"23","21","23","","6","2019-07-18","0"
"24","23","24","","7","2019-08-01","0"
"18","17","18","","5","2019-08-15","0"
"24","23","24","","7","2019-08-29","0"
"24","23","24","","7","2019-09-12","0"
"21","20","21","","6","2019-09-26","0"
"20","19","20","","6","2019-10-10","0"
"20","19","20","","6","2019-10-24","0"
"20","19","20","","6","2019-11-07","0"
"20","19","20","","6","2019-11-21","0"
"21","20","21","","6","2019-12-05","0"
"23","21","23","","6","2019-12-19","0"
"23","21","23","","6","2020-01-02","0"
"41","39","41","1","12","2020-01-16","0"
"23","21","23","5","6","2020-01-30","0"
"23","21","23","5","6","2020-02-13","0"
"21","20","21","5","6","2020-02-27","0"
"21","20","21","5","6","2020-03-12","0"
"21","20","21","5","6","2020-03-26","0"
"21","20","21","6","6","2020-04-09","0"
"18","17","18","5","5","2020-04-23","0"
"21","20","21","6","6","2020-05-07","0"
"21","20","21","6","6","2020-05-21","0"
"23","21","23","6","6","2020-06-04","0"
"23","21","23","6","6","2020-06-18","0"
"20","19","20","6","6","2020-07-02","0"
"18","17","18","5","5","2020-07-16","0"
"23","21","23","6","6","2020-07-30","0"
"15","14","15","4","4","2020-08-13","0"
"21","20","21","6","6","2020-08-27","0"
"21","20","21","6","6","2020-09-10","0"
"24","23","24","7","7","2020-09-24","0"
"24","23","24","7","7","2020-10-08","0"
"23","21","23","6","6","2020-10-22","0"
"20","19","20","6","6","2020-11-05","0"
"30","29","30","9","9","2020-11-19","0"
"23","21","23","6","6","2020-12-03","0"
"23","21","23","6","6","2020-12-17","0"
"27","26","27","8","8","2020-12-31","0"
"24","23","24","7","7","2021-01-14","0"
"24","23","24","7","7","2021-01-28","0"
"12","11","12","3","3","2021-02-11","0"
"21","20","21","6","6","2021-02-25","0"
"21","20","21","6","6","2021-03-11","0"
"21","20","21","6","6","2021-03-25","0"
"21","20","21","6","6","2021-04-08","0"
"21","20","21","6","6","2021-04-22","0"
