"113","122","492","5577","12095","date","other"
"24","22","22","7","23","2017-11-10","0"
"25","23","24","8","24","2017-11-24","0"
"23","22","22","8","22","2017-12-08","0"
"20","19","19","8","19","2017-12-22","0"
"14","13","14","6","13","2018-01-05","0"
"24","22","23","9","22","2018-01-19","0"
"18","17","17","7","17","2018-02-02","0"
"17","15","15","6","15","2018-02-16","0"
"19","17","17","7","17","2018-03-02","0"
"13","11","12","5","11","2018-03-16","0"
"19","16","17","7","17","2018-03-30","0"
"15","13","14","6","13","2018-04-13","0"
"31","26","28","12","27","2018-04-27","0"
"31","26","28","12","26","2018-05-11","0"
"31","26","28","12","26","2018-05-25","0"
"32","26","28","12","27","2018-06-08","0"
"32","26","28","12","27","2018-06-22","0"
"32","27","28","13","27","2018-07-06","0"
"32","27","28","13","27","2018-07-20","0"
"32","27","28","13","27","2018-08-03","0"
"32","27","28","13","27","2018-08-17","0"
"32","27","28","13","27","2018-08-31","0"
"33","27","28","13","27","2018-09-14","0"
"33","27","28","13","27","2018-09-28","0"
"33","27","28","13","27","2018-10-12","0"
"33","27","28","13","27","2018-10-26","0"
"33","27","28","13","27","2018-11-09","0"
"33","27","28","13","27","2018-11-23","0"
"33","27","28","13","27","2018-12-07","0"
"34","27","28","14","27","2018-12-21","0"
"34","27","28","14","27","2019-01-04","0"
"34","27","28","14","27","2019-01-18","0"
"34","27","28","14","27","2019-02-01","0"
"34","27","28","14","27","2019-02-15","0"
"34","27","28","14","27","2019-03-01","0"
"12","10","10","5","10","2019-03-15","0"
"7","6","6","3","6","2019-03-29","0"
"32","25","26","14","25","2019-04-12","0"
"34","27","28","15","27","2019-04-26","0"
"12","10","10","5","10","2019-05-10","0"
"28","21","22","12","21","2019-05-24","0"
"33","25","26","14","25","2019-06-07","0"
"38","29","30","16","29","2019-06-21","0"
"35","27","28","15","27","2019-07-05","0"
"35","27","28","15","27","2019-07-19","0"
"38","29","30","16","29","2019-08-02","0"
"35","27","28","15","27","2019-08-16","0"
"35","27","28","15","27","2019-08-30","0"
"35","27","28","15","27","2019-09-13","0"
"38","29","30","16","29","2019-09-27","0"
"36","28","28","15","27","2019-10-11","0"
"36","28","28","15","27","2019-10-25","0"
"36","28","28","15","27","2019-11-08","0"
"36","28","28","15","27","2019-11-22","0"
"41","32","32","17","31","2019-12-06","0"
"49","38","38","20","37","2019-12-20","0"
"39","30","30","16","29","2020-01-03","0"
"36","28","28","15","27","2020-01-17","0"
"39","30","30","16","29","2020-01-31","0"
"39","30","30","16","29","2020-02-14","0"
"36","28","28","15","27","2020-02-28","0"
"39","30","30","16","29","2020-03-13","0"
"39","30","30","16","29","2020-03-27","0"
"36","28","28","15","27","2020-04-10","0"
"33","26","26","14","25","2020-04-24","0"
"44","34","34","18","33","2020-05-08","0"
"36","28","28","15","27","2020-05-22","0"
"39","30","30","16","29","2020-06-05","0"
"36","28","28","15","27","2020-06-19","0"
"46","36","36","19","35","2020-07-03","0"
"36","28","28","15","27","2020-07-17","0"
"41","32","32","17","31","2020-07-31","0"
"31","24","24","13","23","2020-08-14","0"
"36","28","28","15","27","2020-08-28","0"
"41","32","32","17","31","2020-09-11","0"
"41","32","32","17","31","2020-09-25","0"
"41","32","32","17","31","2020-10-09","0"
"41","32","32","17","31","2020-10-23","0"
"41","32","32","18","32","2020-11-06","0"
"46","36","36","21","36","2020-11-20","0"
"44","34","34","19","34","2020-12-04","0"
"44","34","34","19","34","2020-12-18","0"
"46","36","36","21","36","2021-01-01","0"
"39","30","30","17","30","2021-01-15","0"
"44","34","34","19","34","2021-01-29","0"
"31","24","24","14","24","2021-02-12","0"
"39","30","30","17","30","2021-02-26","0"
"36","28","28","16","28","2021-03-12","0"
"41","32","32","18","32","2021-03-26","0"
"36","28","28","16","28","2021-04-09","0"
"36","28","28","16","28","2021-04-23","0"
"36","28","28","16","28","2021-05-07","0"
"36","28","28","16","28","2021-05-21","0"
