"492","597","599","1654","15045","21978","date","other"
"3","1","3","1","1","2","2017-12-07","0"
"15","8","16","8","8","10","2017-12-21","0"
"14","7","14","7","7","9","2018-01-04","0"
"14","7","14","7","7","9","2018-01-18","0"
"15","8","16","8","8","10","2018-02-01","0"
"14","7","14","7","7","9","2018-02-15","0"
"14","7","14","7","7","9","2018-03-01","0"
"12","6","13","6","6","8","2018-03-15","0"
"9","5","9","5","5","6","2018-03-29","0"
"14","7","14","7","7","9","2018-04-12","0"
"23","12","24","12","12","15","2018-04-26","0"
"21","11","22","11","11","14","2018-05-10","0"
"21","11","22","11","11","14","2018-05-24","0"
"21","11","22","11","11","14","2018-06-07","0"
"21","11","22","11","11","14","2018-06-21","0"
"21","11","22","11","11","14","2018-07-05","0"
"21","11","22","11","11","14","2018-07-19","0"
"21","11","22","11","11","14","2018-08-02","0"
"21","11","22","11","11","14","2018-08-16","0"
"21","11","22","11","11","14","2018-08-30","0"
"21","11","22","11","11","14","2018-09-13","0"
"21","11","22","11","11","14","2018-09-27","0"
"21","11","22","11","11","14","2018-10-11","0"
"21","11","22","11","11","14","2018-10-25","0"
"21","11","22","11","11","14","2018-11-08","0"
"21","11","22","11","11","14","2018-11-22","0"
"21","11","22","11","11","14","2018-12-06","0"
"21","11","22","11","11","14","2018-12-20","0"
"21","11","22","11","11","14","2019-01-03","0"
"21","11","22","11","11","14","2019-01-17","0"
"21","11","22","11","11","14","2019-01-31","0"
"21","11","22","11","11","14","2019-02-14","0"
"21","11","22","11","11","14","2019-02-28","0"
"9","5","9","5","5","6","2019-03-14","0"
"3","2","3","2","2","2","2019-03-28","0"
"21","11","22","11","11","14","2019-04-11","0"
"21","11","22","11","11","15","2019-04-25","0"
"9","5","9","5","5","6","2019-05-09","0"
"14","7","14","7","7","10","2019-05-23","0"
"23","12","24","12","12","16","2019-06-06","0"
"23","12","24","12","12","16","2019-06-20","0"
"21","11","22","11","11","15","2019-07-04","0"
"21","11","22","11","11","15","2019-07-18","0"
"23","12","24","12","12","16","2019-08-01","0"
"20","10","20","10","10","14","2019-08-15","0"
"21","11","22","11","11","15","2019-08-29","0"
"21","11","22","11","11","15","2019-09-12","0"
"21","11","22","11","11","15","2019-09-26","0"
"23","12","24","12","12","16","2019-10-10","0"
"21","11","22","11","11","15","2019-10-24","0"
"20","10","20","10","10","14","2019-11-07","0"
"21","11","22","11","11","15","2019-11-21","0"
"21","11","22","11","11","16","2019-12-05","0"
"24","13","25","13","13","18","2019-12-19","0"
"21","11","22","11","11","16","2020-01-02","0"
"23","12","24","12","12","17","2020-01-16","0"
"26","13","27","13","13","19","2020-01-30","0"
"21","11","22","11","11","16","2020-02-13","0"
"20","10","20","10","10","15","2020-02-27","0"
"20","10","20","10","10","15","2020-03-12","0"
"20","10","20","10","10","15","2020-03-26","0"
"29","10","30","10","10","15","2020-04-09","0"
"29","10","30","10","10","15","2020-04-23","0"
"31","11","32","11","11","16","2020-05-07","0"
"29","10","30","10","10","15","2020-05-21","0"
"31","11","32","11","11","16","2020-06-04","0"
"33","12","34","12","12","17","2020-06-18","0"
"31","11","32","11","11","16","2020-07-02","0"
"27","9","27","9","9","14","2020-07-16","0"
"35","13","37","13","13","18","2020-07-30","0"
"29","10","30","10","10","15","2020-08-13","0"
"33","12","34","12","12","17","2020-08-27","0"
"29","10","30","10","10","15","2020-09-10","0"
"31","11","32","11","11","16","2020-09-24","0"
"33","12","34","12","12","17","2020-10-08","0"
"33","12","34","12","12","17","2020-10-22","0"
"44","16","46","16","16","23","2020-11-05","0"
"35","13","37","13","13","18","2020-11-19","0"
"42","15","43","15","15","22","2020-12-03","0"
"31","11","32","11","11","16","2020-12-17","0"
"33","12","34","12","12","17","2020-12-31","0"
"33","12","34","12","12","17","2021-01-14","0"
"35","13","37","13","13","18","2021-01-28","0"
"20","7","21","7","7","10","2021-02-11","0"
"31","11","32","11","11","16","2021-02-25","0"
"33","12","34","12","12","17","2021-03-11","0"
"31","11","32","11","11","16","2021-03-25","0"
"31","11","32","11","11","16","2021-04-08","0"
"33","12","34","12","12","17","2021-04-22","0"
"31","11","32","11","11","16","2021-05-06","0"
"31","11","32","11","11","16","2021-05-20","0"
