"9","597","1770","4182","5350","date","other"
"3","3","","","","2018-03-16","0"
"9","9","","","","2018-03-30","0"
"14","14","","","","2018-04-13","0"
"21","21","","","","2018-04-27","0"
"21","21","","","","2018-05-11","0"
"21","21","","","","2018-05-25","0"
"21","21","","","","2018-06-08","0"
"21","21","","","","2018-06-22","0"
"21","21","","","","2018-07-06","0"
"21","21","","","","2018-07-20","0"
"21","21","","","","2018-08-03","0"
"21","21","","","","2018-08-17","0"
"21","21","","","","2018-08-31","0"
"21","21","","","","2018-09-14","0"
"21","21","","","","2018-09-28","0"
"21","21","","","","2018-10-12","0"
"21","21","","","","2018-10-26","0"
"21","21","","","","2018-11-09","0"
"21","21","","","","2018-11-23","0"
"21","21","","","","2018-12-07","0"
"21","21","","","","2018-12-21","0"
"21","21","","","","2019-01-04","0"
"21","21","","","","2019-01-18","0"
"21","21","","","","2019-02-01","0"
"21","21","","","","2019-02-15","0"
"21","21","","","","2019-03-01","0"
"9","9","","","","2019-03-15","0"
"2","2","","","","2019-03-29","0"
"20","20","1","","","2019-04-12","0"
"21","21","4","","","2019-04-26","0"
"8","8","","","","2019-05-10","0"
"16","16","5","","4","2019-05-24","0"
"22","22","7","","5","2019-06-07","0"
"22","22","7","","5","2019-06-21","0"
"22","22","7","","5","2019-07-05","0"
"22","22","7","","5","2019-07-19","0"
"22","22","7","","5","2019-08-02","0"
"19","19","6","","4","2019-08-16","0"
"24","24","8","","5","2019-08-30","0"
"20","20","7","","5","2019-09-13","0"
"22","22","7","","5","2019-09-27","0"
"25","25","8","","6","2019-10-11","0"
"25","25","8","","6","2019-10-25","0"
"24","24","8","","5","2019-11-08","0"
"22","22","7","","5","2019-11-22","0"
"31","31","8","","5","2019-12-06","0"
"32","32","7","","5","2019-12-20","0"
"39","39","9","","6","2020-01-03","0"
"39","39","9","","6","2020-01-17","0"
"34","34","8","","5","2020-01-31","0"
"32","32","7","","5","2020-02-14","0"
"32","32","7","","5","2020-02-28","0"
"32","32","8","","5","2020-03-13","0"
"32","32","8","","5","2020-03-27","0"
"34","35","14","","7","2020-04-10","0"
"36","37","16","3","9","2020-04-24","0"
"42","44","20","6","11","2020-05-08","0"
"36","37","17","5","9","2020-05-22","0"
"42","43","19","5","11","2020-06-05","0"
"45","46","21","6","11","2020-06-19","0"
"39","40","18","5","10","2020-07-03","0"
"36","37","17","5","9","2020-07-17","0"
"47","49","22","6","12","2020-07-31","0"
"33","34","15","4","9","2020-08-14","0"
"42","43","19","5","11","2020-08-28","0"
"47","49","22","6","12","2020-09-11","0"
"36","37","17","5","9","2020-09-25","0"
"42","43","19","5","11","2020-10-09","0"
"47","49","22","6","12","2020-10-23","0"
"43","44","20","6","11","2020-11-06","0"
"46","47","22","7","13","2020-11-20","0"
"57","59","27","9","16","2020-12-04","0"
"49","50","23","7","13","2020-12-18","0"
"49","50","23","7","13","2021-01-01","0"
"46","47","22","7","13","2021-01-15","0"
"43","44","20","6","12","2021-01-29","0"
"29","29","14","4","8","2021-02-12","0"
"40","41","19","6","11","2021-02-26","0"
"40","41","19","6","11","2021-03-12","0"
"40","41","19","6","11","2021-03-26","0"
"40","41","19","6","11","2021-04-09","0"
"43","44","20","6","12","2021-04-23","0"
"40","41","19","6","11","2021-05-07","0"
"40","41","19","6","11","2021-05-21","0"
