"19","492","493","699","21978","999999","date","other"
"14","14","15","14","","","2016-03-31","0"
"21","21","24","21","","","2016-04-14","0"
"21","21","24","21","","","2016-04-28","0"
"21","21","24","21","","","2016-05-12","0"
"21","21","24","21","","","2016-05-26","0"
"21","21","24","21","","","2016-06-09","0"
"21","21","24","21","","","2016-06-23","0"
"21","21","24","21","","","2016-07-07","0"
"21","21","24","21","","","2016-07-21","0"
"21","21","24","21","","","2016-08-04","0"
"21","21","24","21","","","2016-08-18","0"
"21","21","24","21","","0","2016-09-01","0"
"21","21","24","21","","1","2016-09-15","0"
"21","21","24","21","","1","2016-09-29","0"
"21","21","24","21","","1","2016-10-13","0"
"21","21","24","21","","1","2016-10-27","0"
"21","21","24","21","","1","2016-11-10","0"
"21","21","24","21","","1","2016-11-24","0"
"21","21","24","21","","1","2016-12-08","0"
"21","21","24","21","","1","2016-12-22","0"
"21","21","24","21","","1","2017-01-05","0"
"21","21","24","21","","1","2017-01-19","0"
"21","21","24","21","","1","2017-02-02","0"
"21","21","24","21","","1","2017-02-16","0"
"21","21","24","21","","1","2017-03-02","0"
"21","21","24","21","","1","2017-03-16","0"
"21","21","24","21","","1","2017-03-30","0"
"21","21","24","21","","1","2017-04-13","0"
"21","21","24","21","","1","2017-04-27","0"
"21","21","24","21","","1","2017-05-11","0"
"21","21","24","21","","1","2017-05-25","0"
"21","21","","21","","1","2017-06-08","0"
"20","20","","20","","1","2017-06-22","0"
"21","21","","21","","1","2017-07-06","0"
"20","20","","20","4","1","2017-07-20","0"
"17","17","","17","4","1","2017-08-03","0"
"20","20","","20","5","1","2017-08-17","0"
"11","11","","11","3","1","2017-08-31","0"
"15","15","","15","4","1","2017-09-14","0"
"20","20","","20","5","1","2017-09-28","0"
"14","14","","14","3","1","2017-10-12","0"
"11","11","","11","3","1","2017-10-26","0"
"15","15","","15","4","1","2017-11-09","0"
"14","14","","14","3","1","2017-11-23","0"
"14","14","","14","3","0","2017-12-07","0"
"14","14","","14","3","","2017-12-21","0"
"14","14","","14","3","","2018-01-04","0"
"12","12","","12","3","","2018-01-18","0"
"17","17","","17","4","","2018-02-01","0"
"14","14","","14","3","","2018-02-15","0"
"12","12","","12","3","","2018-03-01","0"
"14","14","","14","3","","2018-03-15","0"
"9","9","","9","2","","2018-03-29","0"
"15","15","","15","4","","2018-04-12","0"
"21","21","","21","5","","2018-04-26","0"
"21","21","","21","5","","2018-05-10","0"
"21","21","","21","5","","2018-05-24","0"
"21","21","","21","5","","2018-06-07","0"
"21","21","","21","5","","2018-06-21","0"
"21","21","","21","5","","2018-07-05","0"
"21","21","","21","5","","2018-07-19","0"
"21","21","","21","5","","2018-08-02","0"
"21","21","","21","5","","2018-08-16","0"
"21","21","","21","5","","2018-08-30","0"
"21","21","","21","5","","2018-09-13","0"
"21","21","","21","5","","2018-09-27","0"
"21","21","","21","5","","2018-10-11","0"
"21","21","","21","5","","2018-10-25","0"
"21","21","","21","5","","2018-11-08","0"
"21","21","","21","5","","2018-11-22","0"
"21","21","","21","5","","2018-12-06","0"
"21","21","","21","5","","2018-12-20","0"
"21","21","","21","5","","2019-01-03","0"
