"122","599","3987","date","other"
"14","","","2017-10-26","0"
"15","","","2017-11-09","0"
"12","","","2017-11-23","0"
"21","","","2017-12-07","0"
"21","","","2017-12-21","0"
"18","","","2018-01-04","0"
"18","","","2018-01-18","0"
"20","","2","2018-02-01","0"
"18","","4","2018-02-15","0"
"21","","5","2018-03-01","0"
"20","","5","2018-03-15","0"
"21","","5","2018-03-29","0"
"20","","5","2018-04-12","0"
"21","","6","2018-04-26","0"
"21","","6","2018-05-10","0"
"22","","7","2018-05-24","0"
"22","","7","2018-06-07","0"
"22","","7","2018-06-21","0"
"22","","7","2018-07-05","0"
"22","","7","2018-07-19","0"
"22","","7","2018-08-02","0"
"22","","7","2018-08-16","0"
"22","","7","2018-08-30","0"
"22","","7","2018-09-13","0"
"22","","7","2018-09-27","0"
"22","","7","2018-10-11","0"
"22","","7","2018-10-25","0"
"22","","7","2018-11-08","0"
"22","","7","2018-11-22","0"
"22","","7","2018-12-06","0"
"22","","7","2018-12-20","0"
"22","","7","2019-01-03","0"
"22","","7","2019-01-17","0"
"22","","7","2019-01-31","0"
"22","","7","2019-02-14","0"
"22","","7","2019-02-28","0"
"20","","7","2019-03-14","0"
"20","","7","2019-03-28","0"
"22","","7","2019-04-11","0"
"22","","7","2019-04-25","0"
"9","","3","2019-05-09","0"
"13","","4","2019-05-23","0"
"22","","7","2019-06-06","0"
"20","","7","2019-06-20","0"
"22","","7","2019-07-04","0"
"22","1","7","2019-07-18","0"
"22","5","7","2019-08-01","0"
"20","5","7","2019-08-15","0"
"20","5","7","2019-08-29","0"
"20","5","7","2019-09-12","0"
"24","5","8","2019-09-26","0"
"27","6","9","2019-10-10","0"
"22","5","7","2019-10-24","0"
"20","5","7","2019-11-07","0"
"22","5","7","2019-11-21","0"
"20","5","7","2019-12-05","0"
"22","5","7","2019-12-19","0"
"20","5","7","2020-01-02","0"
"24","5","8","2020-01-16","0"
"24","5","8","2020-01-30","0"
"24","5","8","2020-02-13","0"
"28","5","7","2020-02-27","0"
"32","6","8","2020-03-12","0"
"34","7","9","2020-03-26","0"
"41","7","8","2020-04-09","0"
"41","7","8","2020-04-23","0"
"44","7","9","2020-05-07","0"
"47","8","10","2020-05-21","0"
"44","7","9","2020-06-04","0"
"50","8","10","2020-06-18","0"
"44","7","9","2020-07-02","0"
"47","8","10","2020-07-16","0"
"47","8","10","2020-07-30","0"
"41","7","8","2020-08-13","0"
"44","7","9","2020-08-27","0"
"41","7","8","2020-09-10","0"
"50","8","10","2020-09-24","0"
"44","7","9","2020-10-08","0"
"44","7","9","2020-10-22","0"
"53","9","11","2020-11-05","0"
"50","8","10","2020-11-19","0"
"69","11","14","2020-12-03","0"
"50","8","10","2020-12-17","0"
"47","8","10","2020-12-31","0"
"47","8","10","2021-01-14","0"
"53","9","11","2021-01-28","0"
"25","4","5","2021-02-11","0"
"44","7","9","2021-02-25","0"
"44","8","9","2021-03-11","0"
"44","8","9","2021-03-25","0"
"44","8","9","2021-04-08","0"
"44","8","9","2021-04-22","0"
"44","8","9","2021-05-06","0"
"47","9","10","2021-05-20","0"
