"9","492","597","1664","4166","date","other"
"12","32","32","13","12","2017-02-17","0"
"12","32","32","13","12","2017-03-03","0"
"11","30","30","12","11","2017-03-17","0"
"13","33","33","14","13","2017-03-31","0"
"13","33","33","14","13","2017-04-14","0"
"13","33","33","14","13","2017-04-28","0"
"13","33","33","14","13","2017-05-12","0"
"13","33","33","14","13","2017-05-26","0"
"13","33","33","14","13","2017-06-09","0"
"13","33","33","15","13","2017-06-23","0"
"13","33","33","15","13","2017-07-07","0"
"12","31","31","14","12","2017-07-21","0"
"11","28","28","13","11","2017-08-04","0"
"11","28","28","13","11","2017-08-18","0"
"7","19","19","9","7","2017-09-01","0"
"9","24","24","11","9","2017-09-15","0"
"11","28","28","13","11","2017-09-29","0"
"11","28","28","13","11","2017-10-13","0"
"9","24","24","11","9","2017-10-27","0"
"10","26","26","12","10","2017-11-10","0"
"10","26","26","12","10","2017-11-24","0"
"10","26","26","12","10","2017-12-08","0"
"11","27","27","13","11","2017-12-22","0"
"10","24","24","11","10","2018-01-05","0"
"9","22","22","10","9","2018-01-19","0"
"11","27","27","13","11","2018-02-02","0"
"12","29","29","14","12","2018-02-16","0"
"11","27","27","13","11","2018-03-02","0"
"8","20","19","9","8","2018-03-16","0"
"9","23","22","10","9","2018-03-30","0"
"11","28","27","13","11","2018-04-13","0"
"15","38","36","17","15","2018-04-27","0"
"14","35","34","16","14","2018-05-11","0"
"14","35","34","16","14","2018-05-25","0"
"13","33","32","15","13","2018-06-08","0"
"14","35","34","16","14","2018-06-22","0"
"14","35","34","16","14","2018-07-06","0"
"14","35","34","16","14","2018-07-20","0"
"14","35","34","16","14","2018-08-03","0"
"14","35","34","16","14","2018-08-17","0"
"14","35","34","16","14","2018-08-31","0"
"14","35","34","16","14","2018-09-14","0"
"13","34","35","17","13","2018-09-28","0"
"13","34","35","17","13","2018-10-12","0"
"13","34","35","17","13","2018-10-26","0"
"13","34","35","17","13","2018-11-09","0"
"13","34","35","17","13","2018-11-23","0"
"14","36","38","18","14","2018-12-07","0"
"13","34","35","17","13","2018-12-21","0"
"13","34","36","18","14","2019-01-04","0"
"13","34","36","18","14","2019-01-18","0"
"13","34","36","18","14","2019-02-01","0"
"13","34","36","18","14","2019-02-15","0"
"13","34","36","18","14","2019-03-01","0"
"5","12","13","6","5","2019-03-15","0"
"5","12","13","6","5","2019-03-29","0"
"12","32","33","17","13","2019-04-12","0"
"13","34","36","18","14","2019-04-26","0"
"5","12","13","6","5","2019-05-10","0"
"10","28","30","17","12","2019-05-24","0"
"14","38","41","23","16","2019-06-07","0"
"13","35","38","21","15","2019-06-21","0"
"13","35","38","21","15","2019-07-05","0"
"13","35","38","21","15","2019-07-19","0"
"13","35","38","21","15","2019-08-02","0"
"11","30","33","18","13","2019-08-16","0"
"13","35","38","21","15","2019-08-30","0"
"13","35","38","21","15","2019-09-13","0"
"15","40","43","24","17","2019-09-27","0"
"14","38","41","23","15","2019-10-11","0"
"13","35","38","21","14","2019-10-25","0"
"10","28","30","17","11","2019-11-08","0"
"13","35","38","21","14","2019-11-22","0"
"15","40","43","24","16","2019-12-06","0"
"17","45","49","27","18","2019-12-20","0"
"18","48","52","29","19","2020-01-03","0"
"13","35","38","21","14","2020-01-17","0"
"13","35","38","21","14","2020-01-31","0"
"11","30","33","18","12","2020-02-14","0"
"13","35","38","21","14","2020-02-28","0"
"13","35","38","21","14","2020-03-13","0"
"14","38","41","23","15","2020-03-27","0"
"16","43","46","26","17","2020-04-10","0"
"13","35","38","21","14","2020-04-24","0"
"14","38","41","23","15","2020-05-08","0"
"14","38","41","23","15","2020-05-22","0"
"14","38","41","23","15","2020-06-05","0"
"12","33","35","20","13","2020-06-19","0"
"15","40","43","24","16","2020-07-03","0"
"13","35","38","21","14","2020-07-17","0"
"15","40","43","24","16","2020-07-31","0"
"13","35","38","21","14","2020-08-14","0"
"15","40","43","24","16","2020-08-28","0"
"19","50","54","30","20","2020-09-11","0"
"14","38","41","23","15","2020-09-25","0"
"13","35","38","21","14","2020-10-09","0"
"14","38","41","23","15","2020-10-23","0"
"18","48","52","29","19","2020-11-06","0"
"17","45","49","27","18","2020-11-20","0"
"14","38","41","23","15","2020-12-04","0"
"18","48","52","29","19","2020-12-18","0"
"16","43","46","26","17","2021-01-01","0"
"16","43","46","26","17","2021-01-15","0"
"14","38","41","23","15","2021-01-29","0"
"11","30","33","18","12","2021-02-12","0"
"14","38","41","23","15","2021-02-26","0"
"13","35","38","21","14","2021-03-12","0"
"14","38","41","23","15","2021-03-26","0"
"13","35","38","21","14","2021-04-09","0"
"13","35","38","21","14","2021-04-23","0"
"13","35","38","21","14","2021-05-07","0"
"15","40","43","24","16","2021-05-21","0"
