"19","492","597","date","other"
"13","13","13","2020-08-12","0"
"29","29","29","2020-08-26","0"
"31","31","31","2020-09-09","0"
"29","29","29","2020-09-23","0"
"33","33","33","2020-10-07","0"
"29","29","29","2020-10-21","0"
"35","35","35","2020-11-04","0"
"42","42","42","2020-11-18","0"
"35","35","35","2020-12-02","0"
"33","33","33","2020-12-16","0"
"29","29","29","2020-12-30","0"
"29","29","29","2021-01-13","0"
"33","33","33","2021-01-27","0"
"22","22","22","2021-02-10","0"
"35","35","35","2021-02-24","0"
"31","31","31","2021-03-10","0"
"31","31","31","2021-03-24","0"
"31","31","31","2021-04-07","0"
"31","31","31","2021-04-21","0"
"33","33","33","2021-05-05","0"
"31","31","31","2021-05-19","0"
