"21","3799","4085","4667","5613","5716","date","other"
"23","13","7","22","","","2017-07-07","0"
"23","14","8","22","","","2017-07-21","0"
"20","12","7","19","","","2017-08-04","0"
"20","12","7","19","1","","2017-08-18","0"
"12","7","4","11","3","","2017-09-01","0"
"21","13","7","20","5","","2017-09-15","0"
"16","10","6","16","4","","2017-09-29","0"
"20","13","8","19","5","","2017-10-13","0"
"15","10","6","14","4","","2017-10-27","0"
"18","12","7","17","5","","2017-11-10","0"
"18","12","8","17","6","","2017-11-24","0"
"16","11","7","16","5","","2017-12-08","0"
"18","13","8","17","6","","2017-12-22","0"
"13","9","5","13","4","","2018-01-05","0"
"16","11","6","16","6","","2018-01-19","0"
"16","11","6","16","6","","2018-02-02","0"
"16","11","6","16","6","","2018-02-16","0"
"20","14","8","19","7","","2018-03-02","0"
"20","14","8","19","7","","2018-03-16","0"
"18","13","7","17","6","","2018-03-30","0"
"17","11","6","16","6","","2018-04-13","0"
"25","16","9","22","8","","2018-04-27","0"
"25","16","9","22","8","","2018-05-11","0"
"25","16","9","22","8","","2018-05-25","0"
"25","16","9","22","8","","2018-06-08","0"
"25","16","9","22","8","","2018-06-22","0"
"25","16","9","22","8","","2018-07-06","0"
"25","16","9","22","8","","2018-07-20","0"
"25","16","9","22","8","","2018-08-03","0"
"25","16","9","22","8","","2018-08-17","0"
"25","16","9","22","8","","2018-08-31","0"
"25","16","9","22","8","","2018-09-14","0"
"25","16","9","22","8","","2018-09-28","0"
"25","16","9","22","8","","2018-10-12","0"
"25","16","9","22","8","","2018-10-26","0"
"25","16","9","22","8","","2018-11-09","0"
"25","16","9","22","8","","2018-11-23","0"
"25","16","9","22","8","","2018-12-07","0"
"25","16","9","22","8","","2018-12-21","0"
"25","16","9","22","8","","2019-01-04","0"
"23","15","8","20","7","","2019-01-18","0"
"25","16","9","22","8","","2019-02-01","0"
"25","16","9","22","8","","2019-02-15","0"
"25","16","9","22","8","","2019-03-01","0"
"13","8","5","11","4","","2019-03-15","0"
"11","7","4","9","3","","2019-03-29","0"
"23","15","8","20","7","","2019-04-12","0"
"25","16","9","22","8","","2019-04-26","0"
"7","5","3","6","2","","2019-05-10","0"
"19","13","7","16","6","","2019-05-24","0"
"26","18","10","23","9","","2019-06-07","0"
"28","19","11","25","10","","2019-06-21","0"
"26","18","10","23","9","","2019-07-05","0"
"28","19","11","25","10","","2019-07-19","0"
"30","21","12","26","11","","2019-08-02","0"
"26","18","11","23","10","","2019-08-16","0"
"28","19","12","25","11","","2019-08-30","0"
"24","17","10","10","9","","2019-09-13","0"
"28","19","12","","11","","2019-09-27","0"
"26","18","11","","10","2","2019-10-11","0"
"28","19","12","","11","5","2019-10-25","0"
"24","17","10","","9","5","2019-11-08","0"
"28","19","12","","11","5","2019-11-22","0"
"26","18","11","","10","5","2019-12-06","0"
"30","21","13","","11","6","2019-12-20","0"
"19","13","8","","7","4","2020-01-03","0"
"26","18","11","","10","5","2020-01-17","0"
"26","18","11","","10","5","2020-01-31","0"
"27","17","11","","9","6","2020-02-14","0"
"25","16","10","","8","6","2020-02-28","0"
"27","18","11","","9","7","2020-03-13","0"
"27","18","11","","9","7","2020-03-27","0"
"25","17","10","","8","7","2020-04-10","0"
"25","17","10","","8","7","2020-04-24","0"
"27","18","11","","9","7","2020-05-08","0"
"25","17","10","","8","7","2020-05-22","0"
"27","18","11","","9","7","2020-06-05","0"
"27","18","11","","9","7","2020-06-19","0"
"25","17","10","","8","7","2020-07-03","0"
"25","17","10","","8","7","2020-07-17","0"
"29","19","12","","10","8","2020-07-31","0"
"23","15","9","","8","6","2020-08-14","0"
"33","22","13","","11","9","2020-08-28","0"
"29","20","13","","11","9","2020-09-11","0"
"33","23","15","","12","10","2020-09-25","0"
"25","18","11","","9","7","2020-10-09","0"
"29","20","13","","11","9","2020-10-23","0"
"31","22","14","","11","9","2020-11-06","0"
"35","24","15","","13","10","2020-11-20","0"
"29","20","13","","11","9","2020-12-04","0"
"33","23","15","","12","10","2020-12-18","0"
"27","19","12","","10","8","2021-01-01","0"
"35","24","15","","13","10","2021-01-15","0"
"27","19","12","","10","8","2021-01-29","0"
"23","16","10","","9","7","2021-02-12","0"
"31","22","14","","11","9","2021-02-26","0"
"31","22","14","","11","9","2021-03-12","0"
"29","20","13","","11","9","2021-03-26","0"
"29","20","13","","11","9","2021-04-09","0"
"27","20","13","","11","8","2021-04-23","0"
"27","20","13","","11","8","2021-05-07","0"
"27","20","13","","11","8","2021-05-21","0"
