"9","21","122","493","1716","6650","date","other"
"19","20","18","22","10","20","2017-07-06","0"
"20","21","19","24","11","21","2017-07-20","0"
"17","18","16","21","9","18","2017-08-03","0"
"19","20","18","22","10","20","2017-08-17","0"
"9","9","8","10","5","9","2017-08-31","0"
"14","16","14","18","8","15","2017-09-14","0"
"13","14","12","16","7","14","2017-09-28","0"
"16","17","15","20","9","17","2017-10-12","0"
"13","14","12","16","7","14","2017-10-26","0"
"11","13","11","14","6","12","2017-11-09","0"
"13","14","12","16","7","14","2017-11-23","0"
"14","16","14","18","8","15","2017-12-07","0"
"10","11","10","13","6","11","2017-12-21","0"
"11","13","11","14","6","12","2018-01-04","0"
"11","13","11","14","6","12","2018-01-18","0"
"14","16","14","18","8","15","2018-02-01","0"
"13","14","12","16","7","14","2018-02-15","0"
"13","14","12","16","7","14","2018-03-01","0"
"13","14","12","16","7","14","2018-03-15","0"
"11","13","11","14","6","12","2018-03-29","0"
"11","13","11","14","6","12","2018-04-12","0"
"19","20","18","23","10","20","2018-04-26","0"
"20","22","19","25","11","21","2018-05-10","0"
"20","22","19","25","11","21","2018-05-24","0"
"21","24","20","27","12","23","2018-06-07","0"
"20","22","19","25","11","21","2018-06-21","0"
"20","22","19","25","11","21","2018-07-05","0"
"20","22","19","45","11","21","2018-07-19","0"
"20","22","19","46","11","21","2018-08-02","0"
"20","22","19","46","11","21","2018-08-16","0"
"20","22","19","46","11","21","2018-08-30","0"
"20","22","19","46","11","21","2018-09-13","0"
"20","22","19","46","11","21","2018-09-27","0"
"20","22","19","46","11","21","2018-10-11","0"
"20","22","19","46","11","21","2018-10-25","0"
"20","22","19","46","11","21","2018-11-08","0"
"20","22","19","46","11","21","2018-11-22","0"
"20","22","19","46","11","21","2018-12-06","0"
"20","22","19","46","11","21","2018-12-20","0"
"20","22","19","46","11","21","2019-01-03","0"
"20","22","19","46","11","21","2019-01-17","0"
"20","22","19","46","11","21","2019-01-31","0"
"20","22","19","46","11","21","2019-02-14","0"
"20","22","19","46","11","21","2019-02-28","0"
"10","11","10","23","6","11","2019-03-14","0"
"3","3","3","7","2","3","2019-03-28","0"
"19","20","18","43","10","20","2019-04-11","0"
"20","22","19","46","11","21","2019-04-25","0"
"7","8","7","16","4","8","2019-05-09","0"
"13","14","12","30","6","14","2019-05-23","0"
"20","22","19","46","10","21","2019-06-06","0"
"20","22","19","46","9","21","2019-06-20","0"
"20","22","19","46","9","21","2019-07-04","0"
"20","22","19","46","9","21","2019-07-18","0"
"19","20","18","43","8","20","2019-08-01","0"
"21","24","20","49","9","23","2019-08-15","0"
"19","20","18","43","7","20","2019-08-29","0"
"19","20","18","43","7","20","2019-09-12","0"
"21","24","20","49","9","23","2019-09-26","0"
"20","22","19","46","8","21","2019-10-10","0"
"21","24","20","49","9","23","2019-10-24","0"
"19","20","18","43","7","20","2019-11-07","0"
"19","20","18","43","7","20","2019-11-21","0"
"20","22","19","46","8","21","2019-12-05","0"
"20","22","19","46","8","21","2019-12-19","0"
"14","16","14","33","6","15","2020-01-02","0"
"20","22","19","46","8","21","2020-01-16","0"
"20","22","19","30","8","21","2020-01-30","0"
"20","22","19","21","8","21","2020-02-13","0"
"19","20","18","20","7","20","2020-02-27","0"
"20","22","19","21","8","21","2020-03-12","0"
"21","24","20","23","9","23","2020-03-26","0"
"20","22","19","21","8","21","2020-04-09","0"
"20","22","19","21","8","21","2020-04-23","0"
"20","22","19","21","8","21","2020-05-07","0"
"19","20","18","20","7","20","2020-05-21","0"
"21","24","20","23","9","23","2020-06-04","0"
"20","22","19","21","8","21","2020-06-18","0"
"20","22","19","21","8","21","2020-07-02","0"
"17","19","16","18","7","18","2020-07-16","0"
"23","25","22","24","9","24","2020-07-30","0"
"16","17","15","17","6","17","2020-08-13","0"
"24","27","23","26","10","26","2020-08-27","0"
"23","25","22","24","9","24","2020-09-10","0"
"20","22","19","21","8","21","2020-09-24","0"
"23","25","22","24","9","24","2020-10-08","0"
"17","19","16","18","7","18","2020-10-22","0"
"23","25","22","24","9","24","2020-11-05","0"
"23","25","22","24","9","24","2020-11-19","0"
"24","27","23","26","10","26","2020-12-03","0"
"19","20","18","20","7","20","2020-12-17","0"
"20","22","19","21","8","21","2020-12-31","0"
"27","30","26","29","11","29","2021-01-14","0"
"24","27","23","26","10","26","2021-01-28","0"
"14","16","14","15","6","15","2021-02-11","0"
"23","25","22","24","9","24","2021-02-25","0"
"21","24","20","23","9","23","2021-03-11","0"
"20","22","19","21","8","21","2021-03-25","0"
"20","22","19","21","8","21","2021-04-08","0"
"20","22","19","21","8","21","2021-04-22","0"
"21","24","20","23","9","23","2021-05-06","0"
"20","22","19","21","8","21","2021-05-20","0"
